system,band,width_mm,drop_mm,price
Model 01 Single,STD,900,800,212
Model 01 Dual,STD,900,800,278
Model 01 Single,STD,1200,800,212
Model 01 Dual,STD,1200,800,278
Model 01 Single,STD,1500,800,254
Model 01 Dual,STD,1500,800,334
Model 01 Single,STD,900,1000,212
Model 01 Dual,STD,900,1000,278
Model 01 Single,STD,1200,1000,254
Model 01 Dual,STD,1200,1000,334
Model 01 Single,STD,1500,1000,318
Model 01 Dual,STD,1500,1000,417
Model 01 Single,STD,900,1200,229
Model 01 Dual,STD,900,1200,300
Model 01 Single,STD,1200,1200,305
Model 01 Dual,STD,1200,1200,400
Model 01 Single,STD,1500,1200,382
Model 01 Dual,STD,1500,1200,500
Model 01 Single,STD,900,1400,267
Model 01 Dual,STD,900,1400,350
Model 01 Single,STD,1200,1400,356
Model 01 Dual,STD,1200,1400,467
Model 01 Single,STD,1500,1400,445
Model 01 Dual,STD,1500,1400,584
Model 01 Single,STD,900,1600,305
Model 01 Dual,STD,900,1600,400
Model 01 Single,STD,1200,1600,407
Model 01 Dual,STD,1200,1600,534
Model 01 Single,STD,1500,1600,509
Model 01 Dual,STD,1500,1600,667
Model 01 Single,STD,900,1800,343
Model 01 Dual,STD,900,1800,450
Model 01 Single,STD,1200,1800,458
Model 01 Dual,STD,1200,1800,600
Model 01 Single,STD,1500,1800,572
Model 01 Dual,STD,1500,1800,751
Model 01 Single,STD,900,2000,382
Model 01 Dual,STD,900,2000,500
Model 01 Single,STD,1200,2000,509
Model 01 Dual,STD,1200,2000,667
Model 01 Single,STD,1500,2000,636
Model 01 Dual,STD,1500,2000,834
Model 01 Single,STD,900,2200,420
Model 01 Dual,STD,900,2200,550
Model 01 Single,STD,1200,2200,560
Model 01 Dual,STD,1200,2200,734
Model 01 Single,STD,1500,2200,700
Model 01 Dual,STD,1500,2200,917
Model 01 Single,STD,900,2400,458
Model 01 Dual,STD,900,2400,600
Model 01 Single,STD,1200,2400,611
Model 01 Dual,STD,1200,2400,801
Model 01 Single,STD,1500,2400,763
Model 01 Dual,STD,1500,2400,1001
Model 01 Single,STD,900,2500,477
Model 01 Dual,STD,900,2500,625
Model 01 Single,STD,1200,2500,636
Model 01 Dual,STD,1200,2500,834
Model 01 Single,STD,1500,2500,795
Model 01 Dual,STD,1500,2500,1042
Model 02 Single,STD,900,800,278
Model 02 Dual,STD,900,800,322
Model 02 Single,STD,1200,800,278
Model 02 Dual,STD,1200,800,322
Model 02 Single,STD,1500,800,334
Model 02 Dual,STD,1500,800,386
Model 02 Single,STD,1800,800,400
Model 02 Dual,STD,1800,800,463
Model 02 Single,STD,2100,800,467
Model 02 Dual,STD,2100,800,540
Model 02 Single,STD,2400,800,534
Model 02 Dual,STD,2400,800,617
Model 02 Single,STD,2700,800,600
Model 02 Dual,STD,2700,800,695
Model 02 Single,STD,3100,800,689
Model 02 Dual,STD,3100,800,798
Model 02 Single,STD,4000,800,890
Model 02 Dual,STD,4000,800,1029
Model 02 Single,STD,5000,800,1112
