name,colour,band
Adore Curtain,Emerald,D
Adore Curtain,Graphite,D
Adore Curtain,Rose Blush,D
Adore Curtain,Stone,D
Adore Curtain,Sulphur,D
Agra Curtain,Fuchsia,C
Agra Curtain,Pearl,C
Agra Curtain,Steel,C
Alana Curtain,Midnight,E
Alana Curtain,Pastel,E
Alana Curtain,Sombre,E
Amira Curtain,Cranberry,A
Amira Curtain,Mineral,A
Amira Curtain,Rosa,A
Amira Curtain,Silver,A
Amira Curtain,Sunset,A
Amira Curtain,Topaz,A
Amora Curtain,Brass,B
Amora Curtain,Charcoal,B
Amora Curtain,Teal,B
Arles Curtain,Ice,B
Arles Curtain,Mineral,B
Arles Curtain,Silver,B
Astrid Curtain,Black,A
Astrid Curtain,Clay,A
Astrid Curtain,Cornflower,A
Astrid Curtain,Fiesta,A
Astrid Curtain,Forest,A
Astrid Curtain,Greige,A
Astrid Curtain,Hot Pink,A
Astrid Curtain,Ice White.,A
Astrid Curtain,Lake,A
Astrid Curtain,Lavender,A
Astrid Curtain,Meadow,A
Astrid Curtain,Pastel Blue,A
Astrid Curtain,Plum,A
Astrid Curtain,Sunshine,A
Astrid Curtain,Taupe,A
Bounce Curtain,Pink,B
Bounce Curtain,Putty,B
Bryony Curtain,Golden,A
Bryony Curtain,Gunmetal,A
Bryony Curtain,Ocean,A
Bryony Curtain,Silver,A
Calm Curtain,Arctic,D
Calm Curtain,Ash,D
Calm Curtain,Whip,D
Capri Curtain,Chilli,D
Capri Curtain,Cream,D
Capri Curtain,Greige,D
Capri Curtain,Lavender Fog,D
Capri Curtain,Sand,D
Capri Curtain,Stone Blue,D
Capri Curtain,Taffy,D
Cassia Curtain,Coral,D
Cassia Curtain,Oatmeal,D
Cassia Curtain,Petrol Blue,D
Cassia Curtain,Plum,D
Cassia Curtain,Rust,D
Cassia Curtain,Silver Birch,D
Cassia Curtain,Smoke,D
Cassia Curtain,Sulphur,D
Cassia Curtain,Teal,D
Celebrate Curtain,Multi,B
Celebrate Curtain,Pastel,B
Cloud Curtain,Charcoal,D
Cloud Curtain,Mineral,D
Cloud Curtain,Oat,D
Cloud Curtain,Rose,D
Cloud Curtain,Taupe,D
Cora Curtain,Lilac,B
Cora Curtain,Silver,B
Cora Curtain,Taupe,B
Daisy Chain Curtain,Linen,E
Daisy Chain Curtain,Ocean,E
Daisy Chain Curtain,Shadow,E
Dash Curtain,Jade,C
Dash Curtain,Rose,C
Dash Curtain,Slate,C
Dash Curtain,Twilight,C
Evelyn Curtain,Grey,D
Evelyn Curtain,Ivory,D
Evelyn Curtain,Petal,D
Felicity Curtain,Autumn,E
Felicity Curtain,Greenery,E
Felicity Curtain,Silver Birch,E
Felicity Curtain,Wedgwood,E
Ford Curtain,Blue,D
Ford Curtain,Mink,D
Ford Curtain,Olive,D
Glamour Curtain,Aurum,E
Glamour Curtain,Cointreau,E
Glamour Curtain,Emerald,E
Glamour Curtain,Midnight,E
Glamour Curtain,Rose,E
Glamour Curtain,Rouge,E
Glamour Curtain,Signet,E
Glamour Curtain,Taupe,E
Glamour Curtain,Teal,E
Glee Curtain,Azure,B
Glee Curtain,Hemp,B
Glee Curtain,Sienna,B
Hazel Curtain,Brush,D
Hazel Curtain,Ivory,D
Hazel Curtain,Ochre,D
Hazel Curtain,Silver,D
Ikat Curtain,Mineral,C
Ikat Curtain,Rosa,C
Jennifer Curtain,Evening Haze,C
Jennifer Curtain,Honey,C
Jennifer Curtain,Natural,C
Jennifer Curtain,Rust,C
Karma Curtain,Aspen,B
Karma Curtain,Charcoal,B
Karma Curtain,Merlot,B
Karma Curtain,Natural,B
Karma Curtain,Rust,B
Karma Curtain,Sahara,B
Laguna Curtain,Ebony,C
Little Star Curtain,Silver,A
Logan Curtain,Breeze,A
Logan Curtain,Cedar,A
Logan Curtain,Ecru,A
Logan Curtain,Fuchsia,A
Logan Curtain,Mono,A
Logan Curtain,Oat,A
Luna Curtain,Amethyst,C
Luna Curtain,Hot Pink,C
Luna Curtain,Ocean,C
Mabel Curtain,Autumn,C
Mabel Curtain,Jewel,C
Mabel Curtain,Lavender,C
Mabel Curtain,Natural,C
Mabel Curtain,Pink,C
Machu Curtain,Slate,D
Malay Curtain,Fiesta,C
Malay Curtain,Grey,C
Malay Curtain,Oat,C
Malay Curtain,Ocean,C
Maverick Curtain,Azure,B
Maverick Curtain,Greige,B
Maverick Curtain,Lilac,B
Maverick Curtain,Tangerine,B
Maverick Curtain,Turquoise,B
Maynard Curtain,Ash,C
Maynard Curtain,Blush,C
Maynard Curtain,Coral,C
Maynard Curtain,Linen,C
Maynard Curtain,Snow,C
Maynard Curtain,Spruce,C
Maynard Curtain,Sunshine,C
Maynard Curtain,Teal,C
Medina Curtain,Iris,C
Medina Curtain,Teal,C
Molly Curtain,Coral,B
Mystique Curtain,Pewter,C
Mystique Curtain,Topaz,C
Nadia Curtain,Navy,D
Nadia Curtain,Silver,D
Nadia Curtain,Vibrance,D
Newcombe Curtain,Charcoal,C
Newcombe Curtain,Pearl,C
Newcombe Curtain,Steel,C
Noah Curtain,Celadon,C
