system,band,width_mm,drop_mm,price
Pencil Pleat,A,1270,1370,129.0
Deep Pencil Pleat,A,1270,1370,129.0
Pencil Pleat,A,1900,1370,148.0
Deep Pencil Pleat,A,1900,1370,148.0
Pencil Pleat,A,2540,1370,166.0
Deep Pencil Pleat,A,2540,1370,166.0
Pencil Pleat,A,3170,1370,185.0
Deep Pencil Pleat,A,3170,1370,185.0
Pencil Pleat,A,3800,1370,206.0
Deep Pencil Pleat,A,3800,1370,206.0
Pencil Pleat,A,4450,1370,225.0
Deep Pencil Pleat,A,4450,1370,225.0
Pencil Pleat,A,5080,1370,246.0
Deep Pencil Pleat,A,5080,1370,246.0
Pencil Pleat,A,5720,1370,268.0
Deep Pencil Pleat,A,5720,1370,268.0
Pencil Pleat,A,6000,1370,277.0
Deep Pencil Pleat,A,6000,1370,277.0
Pencil Pleat,A,1270,1830,146.0
Deep Pencil Pleat,A,1270,1830,146.0
Pencil Pleat,A,1900,1830,167.0
Deep Pencil Pleat,A,1900,1830,167.0
Pencil Pleat,A,2540,1830,190.0
Deep Pencil Pleat,A,2540,1830,190.0
Pencil Pleat,A,3170,1830,217.0
Deep Pencil Pleat,A,3170,1830,217.0
Pencil Pleat,A,3800,1830,241.0
Deep Pencil Pleat,A,3800,1830,241.0
Pencil Pleat,A,4450,1830,267.0
Deep Pencil Pleat,A,4450,1830,267.0
Pencil Pleat,A,5080,1830,291.0
Deep Pencil Pleat,A,5080,1830,291.0
Pencil Pleat,A,5720,1830,318.0
Deep Pencil Pleat,A,5720,1830,318.0
Pencil Pleat,A,6000,1830,332.0
Deep Pencil Pleat,A,6000,1830,332.0
Pencil Pleat,A,1270,2290,158.0
Deep Pencil Pleat,A,1270,2290,158.0
Pencil Pleat,A,1900,2290,186.0
Deep Pencil Pleat,A,1900,2290,186.0
Pencil Pleat,A,2540,2290,217.0
Deep Pencil Pleat,A,2540,2290,217.0
Pencil Pleat,A,3170,2290,246.0
Deep Pencil Pleat,A,3170,2290,246.0
Pencil Pleat,A,3800,2290,276.0
Deep Pencil Pleat,A,3800,2290,276.0
Pencil Pleat,A,4450,2290,306.0
Deep Pencil Pleat,A,4450,2290,306.0
Pencil Pleat,A,5080,2290,336.0
Deep Pencil Pleat,A,5080,2290,336.0
