system,band,width_mm,drop_mm,price
89mm,A,1000,900,150.0
89mm,A,1300,900,171.0
89mm,A,1500,900,194.0
89mm,A,1700,900,213.0
89mm,A,1900,900,229.0
89mm,A,2100,900,250.0
89mm,A,2300,900,267.0
89mm,A,2500,900,285.0
89mm,A,2700,900,304.0
89mm,A,2900,900,324.0
89mm,A,3100,900,335.0
89mm,A,3300,900,342.0
89mm,A,3500,900,349.0
89mm,A,3750,900,359.0
89mm,A,1000,1100,153.0
89mm,A,1300,1100,177.0
89mm,A,1500,1100,200.0
89mm,A,1700,1100,217.0
89mm,A,1900,1100,235.0
89mm,A,2100,1100,257.0
89mm,A,2300,1100,273.0
89mm,A,2500,1100,294.0
89mm,A,2700,1100,311.0
89mm,A,2900,1100,330.0
89mm,A,3100,1100,344.0
89mm,A,3300,1100,348.0
89mm,A,3500,1100,359.0
89mm,A,3750,1100,366.0
89mm,A,1000,1300,154.0
89mm,A,1300,1300,179.0
89mm,A,1500,1300,204.0
89mm,A,1700,1300,221.0
89mm,A,1900,1300,240.0
89mm,A,2100,1300,260.0
89mm,A,2300,1300,278.0
89mm,A,2500,1300,298.0
89mm,A,2700,1300,318.0
89mm,A,2900,1300,336.0
89mm,A,3100,1300,352.0
89mm,A,3300,1300,356.0
89mm,A,3500,1300,364.0
89mm,A,3750,1300,375.0
89mm,A,1000,1500,156.0
89mm,A,1300,1500,182.0
89mm,A,1500,1500,207.0
89mm,A,1700,1500,224.0
89mm,A,1900,1500,244.0
89mm,A,2100,1500,264.0
89mm,A,2300,1500,284.0
89mm,A,2500,1500,303.0
89mm,A,2700,1500,325.0
89mm,A,2900,1500,345.0
89mm,A,3100,1500,359.0
89mm,A,3300,1500,363.0
89mm,A,3500,1500,372.0
89mm,A,3750,1500,384.0
89mm,A,1000,1700,158.0
89mm,A,1300,1700,185.0
89mm,A,1500,1700,210.0
89mm,A,1700,1700,229.0
89mm,A,1900,1700,248.0
89mm,A,2100,1700,269.0
89mm,A,2300,1700,291.0
89mm,A,2500,1700,311.0
89mm,A,2700,1700,330.0
89mm,A,2900,1700,349.0
89mm,A,3100,1700,364.0
89mm,A,3300,1700,371.0
89mm,A,3500,1700,380.0
89mm,A,3750,1700,389.0
89mm,A,1000,1900,160.0
89mm,A,1300,1900,187.0
89mm,A,1500,1900,213.0
89mm,A,1700,1900,233.0
89mm,A,1900,1900,252.0
89mm,A,2100,1900,275.0
89mm,A,2300,1900,296.0
89mm,A,2500,1900,315.0
89mm,A,2700,1900,336.0
89mm,A,2900,1900,356.0
89mm,A,3100,1900,372.0
89mm,A,3300,1900,379.0
89mm,A,3500,1900,387.0
89mm,A,3750,1900,397.0
89mm,A,1000,2100,165.0
89mm,A,1300,2100,189.0
89mm,A,1500,2100,217.0
89mm,A,1700,2100,237.0
89mm,A,1900,2100,258.0
89mm,A,2100,2100,280.0
89mm,A,2300,2100,300.0
89mm,A,2500,2100,321.0
89mm,A,2700,2100,344.0
89mm,A,2900,2100,363.0
89mm,A,3100,2100,380.0
89mm,A,3300,2100,385.0
89mm,A,3500,2100,395.0
89mm,A,3750,2100,405.0
89mm,A,1000,2300,166.0
89mm,A,1300,2300,193.0
89mm,A,1500,2300,221.0
89mm,A,1700,2300,241.0
89mm,A,1900,2300,262.0
89mm,A,2100,2300,284.0
89mm,A,2300,2300,307.0
89mm,A,2500,2300,329.0
89mm,A,2700,2300,349.0
89mm,A,2900,2300,371.0
89mm,A,3100,2300,387.0
89mm,A,3300,2300,392.0
89mm,A,3500,2300,401.0
89mm,A,3750,2300,414.0
89mm,A,1000,2500,171.0
89mm,A,1300,2500,197.0
89mm,A,1500,2500,224.0
89mm,A,1700,2500,245.0
89mm,A,1900,2500,267.0
89mm,A,2100,2500,291.0
89mm,A,2300,2500,311.0
89mm,A,2500,2500,333.0
89mm,A,2700,2500,355.0
89mm,A,2900,2500,379.0
89mm,A,3100,2500,394.0
89mm,A,3300,2500,398.0
89mm,A,3500,2500,410.0
89mm,A,3750,2500,421.0
89mm,A,1000,2700,173.0
89mm,A,1300,2700,200.0
89mm,A,1500,2700,227.0
89mm,A,1700,2700,248.0
89mm,A,1900,2700,269.0
89mm,A,2100,2700,296.0
89mm,A,2300,2700,315.0
89mm,A,2500,2700,338.0
89mm,A,2700,2700,361.0
89mm,A,2900,2700,385.0
89mm,A,3100,2700,400.0
89mm,A,3300,2700,405.0
89mm,A,3500,2700,418.0
89mm,A,3750,2700,430.0
89mm,A,1000,2900,177.0
89mm,A,1300,2900,204.0
89mm,A,1500,2900,232.0
89mm,A,1700,2900,256.0
89mm,A,1900,2900,275.0
89mm,A,2100,2900,300.0
89mm,A,2300,2900,321.0
89mm,A,2500,2900,347.0
89mm,A,2700,2900,368.0
89mm,A,2900,2900,389.0
89mm,A,3100,2900,406.0
89mm,A,3300,2900,417.0
89mm,A,3500,2900,423.0
89mm,A,3750,2900,435.0
89mm,A,1000,3100,178.0
89mm,A,1300,3100,207.0
89mm,A,1500,3100,235.0
89mm,A,1700,3100,258.0
89mm,A,1900,3100,278.0
89mm,A,2100,3100,307.0
89mm,A,2300,3100,326.0
89mm,A,2500,3100,352.0
89mm,A,2700,3100,375.0
89mm,A,2900,3100,397.0
89mm,A,3100,3100,417.0
89mm,A,3300,3100,422.0
89mm,A,3500,3100,433.0
89mm,A,3750,3100,445.0
89mm,A,1000,3300,181.0
89mm,A,1300,3300,210.0
89mm,A,1500,3300,239.0
89mm,A,1700,3300,262.0
89mm,A,1900,3300,284.0
89mm,A,2100,3300,311.0
89mm,A,2300,3300,332.0
89mm,A,2500,3300,356.0
89mm,A,2700,3300,383.0
89mm,A,2900,3300,404.0
89mm,A,3100,3300,422.0
89mm,A,3300,3300,430.0
89mm,A,3500,3300,438.0
89mm,A,3750,3300,453.0
89mm,A,1000,3500,182.0
89mm,A,1300,3500,213.0
89mm,A,1500,3500,241.0
89mm,A,1700,3500,264.0
89mm,A,1900,3500,286.0
89mm,A,2100,3500,314.0
89mm,A,2300,3500,336.0
89mm,A,2500,3500,363.0
89mm,A,2700,3500,387.0
89mm,A,2900,3500,413.0
89mm,A,3100,3500,431.0
89mm,A,3300,3500,435.0
89mm,A,3500,3500,447.0
89mm,A,3750,3500,459.0
89mm,A,1000,3700,185.0
89mm,A,1300,3700,216.0
89mm,A,1500,3700,245.0
89mm,A,1700,3700,269.0
89mm,A,1900,3700,294.0
89mm,A,2100,3700,320.0
89mm,A,2300,3700,344.0
89mm,A,2500,3700,368.0
89mm,A,2700,3700,394.0
89mm,A,2900,3700,419.0
89mm,A,3100,3700,437.0
89mm,A,3300,3700,443.0
89mm,A,3500,3700,454.0
89mm,A,3750,3700,468.0
89mm,A,1000,4000,188.0
89mm,A,1300,4000,221.0
89mm,A,1500,4000,250.0
89mm,A,1700,4000,275.0
89mm,A,1900,4000,300.0
89mm,A,2100,4000,326.0
89mm,A,2300,4000,352.0
89mm,A,2500,4000,375.0
89mm,A,2700,4000,401.0
89mm,A,2900,4000,417.0
89mm,A,3100,4000,450.0
89mm,A,3300,4000,454.0
89mm,A,3500,4000,467.0
89mm,A,3750,4000,477.0
89mm,B,1000,900,158.0
89mm,B,1300,900,181.0
89mm,B,1500,900,211.0
89mm,B,1700,900,229.0
89mm,B,1900,900,246.0
89mm,B,2100,900,274.0
89mm,B,2300,900,293.0
89mm,B,2500,900,315.0
89mm,B,2700,900,329.0
89mm,B,2900,900,353.0
89mm,B,3100,900,364.0
89mm,B,3300,900,368.0
89mm,B,3500,900,384.0
89mm,B,3750,900,392.0
89mm,B,1000,1100,160.0
89mm,B,1300,1100,189.0
89mm,B,1500,1100,216.0
89mm,B,1700,1100,233.0
89mm,B,1900,1100,257.0
89mm,B,2100,1100,282.0
89mm,B,2300,1100,300.0
89mm,B,2500,1100,321.0
89mm,B,2700,1100,338.0
89mm,B,2900,1100,363.0
89mm,B,3100,1100,383.0
89mm,B,3300,1100,387.0
89mm,B,3500,1100,394.0
89mm,B,3750,1100,401.0
89mm,B,1000,1300,165.0
89mm,B,1300,1300,193.0
89mm,B,1500,1300,219.0
89mm,B,1700,1300,241.0
89mm,B,1900,1300,262.0
89mm,B,2100,1300,285.0
89mm,B,2300,1300,307.0
89mm,B,2500,1300,330.0
89mm,B,2700,1300,349.0
89mm,B,2900,1300,375.0
89mm,B,3100,1300,387.0
89mm,B,3300,1300,397.0
89mm,B,3500,1300,404.0
89mm,B,3750,1300,419.0
89mm,B,1000,1500,173.0
89mm,B,1300,1500,202.0
89mm,B,1500,1500,232.0
89mm,B,1700,1500,245.0
89mm,B,1900,1500,268.0
89mm,B,2100,1500,296.0
89mm,B,2300,1500,320.0
89mm,B,2500,1500,342.0
89mm,B,2700,1500,360.0
89mm,B,2900,1500,385.0
89mm,B,3100,1500,401.0
89mm,B,3300,1500,406.0
89mm,B,3500,1500,421.0
89mm,B,3750,1500,430.0
89mm,B,1000,1700,179.0
89mm,B,1300,1700,204.0
89mm,B,1500,1700,235.0
89mm,B,1700,1700,256.0
89mm,B,1900,1700,277.0
89mm,B,2100,1700,303.0
89mm,B,2300,1700,324.0
89mm,B,2500,1700,349.0
89mm,B,2700,1700,368.0
89mm,B,2900,1700,394.0
89mm,B,3100,1700,414.0
89mm,B,3300,1700,418.0
89mm,B,3500,1700,431.0
89mm,B,3750,1700,438.0
89mm,B,1000,1900,181.0
89mm,B,1300,1900,210.0
89mm,B,1500,1900,237.0
89mm,B,1700,1900,262.0
89mm,B,1900,1900,285.0
89mm,B,2100,1900,309.0
89mm,B,2300,1900,332.0
89mm,B,2500,1900,359.0
89mm,B,2700,1900,384.0
89mm,B,2900,1900,404.0
89mm,B,3100,1900,423.0
89mm,B,3300,1900,431.0
89mm,B,3500,1900,438.0
89mm,B,3750,1900,454.0
89mm,B,1000,2100,182.0
89mm,B,1300,2100,213.0
89mm,B,1500,2100,240.0
89mm,B,1700,2100,268.0
89mm,B,1900,2100,294.0
89mm,B,2100,2100,315.0
89mm,B,2300,2100,342.0
89mm,B,2500,2100,363.0
89mm,B,2700,2100,394.0
89mm,B,2900,2100,419.0
89mm,B,3100,2100,433.0
89mm,B,3300,2100,439.0
89mm,B,3500,2100,452.0
89mm,B,3750,2100,468.0
89mm,B,1000,2300,188.0
89mm,B,1300,2300,221.0
89mm,B,1500,2300,250.0
89mm,B,1700,2300,277.0
89mm,B,1900,2300,297.0
89mm,B,2100,2300,325.0
89mm,B,2300,2300,349.0
89mm,B,2500,2300,377.0
89mm,B,2700,2300,401.0
89mm,B,2900,2300,426.0
89mm,B,3100,2300,447.0
89mm,B,3300,2300,454.0
89mm,B,3500,2300,464.0
89mm,B,3750,2300,475.0
89mm,B,1000,2500,193.0
89mm,B,1300,2500,223.0
89mm,B,1500,2500,256.0
89mm,B,1700,2500,278.0
89mm,B,1900,2500,303.0
89mm,B,2100,2500,329.0
89mm,B,2300,2500,356.0
89mm,B,2500,2500,385.0
89mm,B,2700,2500,413.0
89mm,B,2900,2500,437.0
89mm,B,3100,2500,453.0
89mm,B,3300,2500,461.0
89mm,B,3500,2500,473.0
89mm,B,3750,2500,492.0
89mm,B,1000,2700,195.0
89mm,B,1300,2700,229.0
89mm,B,1500,2700,258.0
89mm,B,1700,2700,285.0
89mm,B,1900,2700,313.0
89mm,B,2100,2700,336.0
89mm,B,2300,2700,364.0
89mm,B,2500,2700,389.0
89mm,B,2700,2700,421.0
89mm,B,2900,2700,443.0
89mm,B,3100,2700,467.0
89mm,B,3300,2700,473.0
89mm,B,3500,2700,486.0
89mm,B,3750,2700,500.0
89mm,B,1000,2900,197.0
89mm,B,1300,2900,232.0
89mm,B,1500,2900,264.0
89mm,B,1700,2900,291.0
89mm,B,1900,2900,320.0
89mm,B,2100,2900,348.0
89mm,B,2300,2900,371.0
89mm,B,2500,2900,401.0
89mm,B,2700,2900,430.0
89mm,B,2900,2900,453.0
89mm,B,3100,2900,475.0
89mm,B,3300,2900,480.0
89mm,B,3500,2900,495.0
89mm,B,3750,2900,509.0
89mm,B,1000,3100,204.0
89mm,B,1300,3100,239.0
89mm,B,1500,3100,269.0
89mm,B,1700,3100,297.0
89mm,B,1900,3100,324.0
89mm,B,2100,3100,356.0
89mm,B,2300,3100,383.0
89mm,B,2500,3100,410.0
89mm,B,2700,3100,437.0
89mm,B,2900,3100,464.0
89mm,B,3100,3100,486.0
89mm,B,3300,3100,493.0
89mm,B,3500,3100,508.0
89mm,B,3750,3100,524.0
89mm,B,1000,3300,207.0
89mm,B,1300,3300,240.0
89mm,B,1500,3300,274.0
89mm,B,1700,3300,300.0
89mm,B,1900,3300,326.0
89mm,B,2100,3300,360.0
89mm,B,2300,3300,387.0
89mm,B,2500,3300,417.0
89mm,B,2700,3300,447.0
89mm,B,2900,3300,473.0
89mm,B,3100,3300,495.0
89mm,B,3300,3300,501.0
89mm,B,3500,3300,518.0
89mm,B,3750,3300,531.0
89mm,B,1000,3500,209.0
89mm,B,1300,3500,244.0
89mm,B,1500,3500,280.0
89mm,B,1700,3500,308.0
89mm,B,1900,3500,333.0
89mm,B,2100,3500,366.0
89mm,B,2300,3500,394.0
89mm,B,2500,3500,423.0
89mm,B,2700,3500,453.0
89mm,B,2900,3500,480.0
89mm,B,3100,3500,507.0
89mm,B,3300,3500,509.0
89mm,B,3500,3500,527.0
89mm,B,3750,3500,542.0
89mm,B,1000,3700,213.0
89mm,B,1300,3700,248.0
89mm,B,1500,3700,282.0
89mm,B,1700,3700,314.0
89mm,B,1900,3700,342.0
89mm,B,2100,3700,377.0
89mm,B,2300,3700,402.0
89mm,B,2500,3700,434.0
89mm,B,2700,3700,461.0
89mm,B,2900,3700,493.0
89mm,B,3100,3700,512.0
89mm,B,3300,3700,524.0
89mm,B,3500,3700,536.0
89mm,B,3750,3700,553.0
89mm,B,1000,4000,216.0
89mm,B,1300,4000,252.0
89mm,B,1500,4000,296.0
89mm,B,1700,4000,324.0
89mm,B,1900,4000,352.0
89mm,B,2100,4000,383.0
89mm,B,2300,4000,413.0
89mm,B,2500,4000,439.0
89mm,B,2700,4000,474.0
89mm,B,2900,4000,504.0
89mm,B,3100,4000,530.0
89mm,B,3300,4000,538.0
89mm,B,3500,4000,549.0
89mm,B,3750,4000,570.0
89mm,C,1000,900,172.0
89mm,C,1300,900,189.0
89mm,C,1500,900,229.0
89mm,C,1700,900,246.0
89mm,C,1900,900,264.0
89mm,C,2100,900,297.0
89mm,C,2300,900,314.0
89mm,C,2500,900,338.0
89mm,C,2700,900,363.0
89mm,C,2900,900,388.0
89mm,C,3100,900,400.0
89mm,C,3300,900,401.0
89mm,C,3500,900,422.0
89mm,C,3750,900,430.0
89mm,C,1000,1100,173.0
89mm,C,1300,1100,207.0
89mm,C,1500,1100,237.0
89mm,C,1700,1100,257.0
89mm,C,1900,1100,278.0
89mm,C,2100,1100,311.0
89mm,C,2300,1100,329.0
89mm,C,2500,1100,353.0
89mm,C,2700,1100,379.0
89mm,C,2900,1100,397.0
89mm,C,3100,1100,421.0
89mm,C,3300,1100,426.0
89mm,C,3500,1100,435.0
89mm,C,3750,1100,450.0
89mm,C,1000,1300,181.0
89mm,C,1300,1300,209.0
