name,colour,band
Beam Day and Night Roller,Azure,A
Beam Day and Night Roller,Biscuit,A
Beam Day and Night Roller,Denim,A
Beam Day and Night Roller,Greenery,A
Beam Day and Night Roller,Navy,A
Beam Day and Night Roller,Oatmeal,A
Beam Day and Night Roller,Orchid,A
Beam Day and Night Roller,Purple,A
Beam Day and Night Roller,Rouge,A
Beam Day and Night Roller,White,A
Dayspring Day and Night Roller,Beige,C
Dayspring Day and Night Roller,Charcoal Grey,C
Dayspring Day and Night Roller,Light Grey,C
Dayspring Day and Night Roller,Steel Grey,C
Dayspring Day and Night Roller,White,C
Glow Day and Night Roller,Black,A
Glow Day and Night Roller,Grey,A
Glow Day and Night Roller,Ivory,A
Glow Day and Night Roller,Light Grey,A
Glow Day and Night Roller,Natural,A
Glow Day and Night Roller,Silver Grey,A
Glow Day and Night Roller,White,A
Illumine Day and Night Roller,Calico,A
Illumine Day and Night Roller,Graphite,A
Illumine Day and Night Roller,Navy,A
Illumine Day and Night Roller,Silver Grey,A
Illumine Day and Night Roller,White,A
Lustre Day and Night Roller,Black,C
Lustre Day and Night Roller,Champagne,C
Lustre Day and Night Roller,Charcoal,C
Lustre Day and Night Roller,Ice,C
Lustre Day and Night Roller,Silver,C
Lustre Day and Night Roller,Zinc,C
Muse Day and Night Roller,Greige,C
Muse Day and Night Roller,Grey,C
Muse Day and Night Roller,Light Grey,C
Sundown Day and Night Roller,Black,C
Sundown Day and Night Roller,Cedar,C
Sundown Day and Night Roller,Charcoal,C
Sundown Day and Night Roller,Cream,C
Sundown Day and Night Roller,Sand,C
Sundown Day and Night Roller,Taupe,C
Sundown Day and Night Roller,White,C
Verve Day and Night Roller,Beige,B
Verve Day and Night Roller,Graphite,B
Verve Day and Night Roller,Light Beige,B
Verve Day and Night Roller,Silver Grey,B
Verve Day and Night Roller,White,B
View Day and Night Roller,Beige,B
View Day and Night Roller,Black,B
View Day and Night Roller,Silver Grey,B
View Day and Night Roller,Slate Grey,B
View Day and Night Roller,White,B
Vision Day and Night Roller,Black,B
Vision Day and Night Roller,Cream,B
Vision Day and Night Roller,Taupe,B
Vision Day and Night Roller,Walnut,B
Vision Day and Night Roller,White,B
