system,band,width_mm,drop_mm,price
Standard,A,610,760,83.0
Standard,A,810,760,86.0
Standard,A,1020,760,94.0
Standard,A,1220,760,100.0
Standard,A,1420,760,106.0
Standard,A,1630,760,111.0
Standard,A,1830,760,116.0
Standard,A,1990,760,119.0
Standard,A,2250,760,123.0
Standard,A,2500,760,132.0
Standard,A,610,910,85.0
Standard,A,810,910,88.0
Standard,A,1020,910,99.0
Standard,A,1220,910,104.0
Standard,A,1420,910,109.0
Standard,A,1630,910,114.0
Standard,A,1830,910,118.0
Standard,A,1990,910,121.0
Standard,A,2250,910,128.0
Standard,A,2500,910,136.0
Standard,A,610,1220,94.0
Standard,A,810,1220,102.0
Standard,A,1020,1220,108.0
Standard,A,1220,1220,112.0
Standard,A,1420,1220,116.0
Standard,A,1630,1220,120.0
Standard,A,1830,1220,126.0
Standard,A,1990,1220,130.0
Standard,A,2250,1220,140.0
Standard,A,2500,1220,146.0
Standard,A,610,1520,104.0
Standard,A,810,1520,108.0
Standard,A,1020,1520,112.0
Standard,A,1220,1520,117.0
Standard,A,1420,1520,120.0
Standard,A,1630,1520,126.0
Standard,A,1830,1520,132.0
Standard,A,1990,1520,139.0
Standard,A,2250,1520,145.0
Standard,A,2500,1520,151.0
Standard,A,610,1830,111.0
Standard,A,810,1830,115.0
Standard,A,1020,1830,120.0
Standard,A,1220,1830,123.0
Standard,A,1420,1830,130.0
Standard,A,1630,1830,139.0
Standard,A,1830,1830,144.0
Standard,A,1990,1830,147.0
Standard,A,2250,1830,153.0
Standard,A,2500,1830,157.0
Standard,A,610,2130,116.0
Standard,A,810,2130,120.0
Standard,A,1020,2130,126.0
Standard,A,1220,2130,132.0
Standard,A,1420,2130,139.0
Standard,A,1630,2130,144.0
Standard,A,1830,2130,149.0
Standard,A,1990,2130,152.0
Standard,A,2250,2130,157.0
Standard,A,2500,2130,164.0
Standard,A,610,2530,122.0
Standard,A,810,2530,128.0
Standard,A,1020,2530,136.0
Standard,A,1220,2530,143.0
Standard,A,1420,2530,146.0
Standard,A,1630,2530,151.0
Standard,A,1830,2530,155.0
Standard,A,1990,2530,158.0
Standard,A,2250,2530,166.0
Standard,A,2500,2530,176.0
Standard,A,610,2700,128.0
Standard,A,810,2700,136.0
Standard,A,1020,2700,143.0
Standard,A,1220,2700,147.0
Standard,A,1420,2700,151.0
Standard,A,1630,2700,155.0
Standard,A,1830,2700,160.0
Standard,A,1990,2700,165.0
Standard,A,2250,2700,173.0
Standard,A,2500,2700,181.0
Standard,B,610,760,92.0
Standard,B,810,760,97.0
Standard,B,1020,760,105.0
Standard,B,1220,760,110.0
Standard,B,1420,760,117.0
Standard,B,1630,760,121.0
Standard,B,1830,760,128.0
Standard,B,1990,760,134.0
Standard,B,2250,760,141.0
Standard,B,2500,760,146.0
Standard,B,610,910,95.0
Standard,B,810,910,101.0
Standard,B,1020,910,109.0
Standard,B,1220,910,115.0
Standard,B,1420,910,119.0
Standard,B,1630,910,126.0
Standard,B,1830,910,132.0
Standard,B,1990,910,136.0
Standard,B,2250,910,144.0
Standard,B,2500,910,150.0
Standard,B,610,1220,105.0
Standard,B,810,1220,114.0
Standard,B,1020,1220,118.0
Standard,B,1220,1220,122.0
Standard,B,1420,1220,128.0
Standard,B,1630,1220,135.0
Standard,B,1830,1220,142.0
Standard,B,1990,1220,145.0
Standard,B,2250,1220,153.0
Standard,B,2500,1220,160.0
Standard,B,610,1520,115.0
Standard,B,810,1520,118.0
Standard,B,1020,1520,122.0
Standard,B,1220,1520,130.0
Standard,B,1420,1520,135.0
Standard,B,1630,1520,142.0
Standard,B,1830,1520,146.0
Standard,B,1990,1520,152.0
Standard,B,2250,1520,158.0
Standard,B,2500,1520,170.0
Standard,B,610,1830,121.0
Standard,B,810,1830,127.0
Standard,B,1020,1830,135.0
Standard,B,1220,1830,141.0
Standard,B,1420,1830,145.0
Standard,B,1630,1830,152.0
Standard,B,1830,1830,157.0
Standard,B,1990,1830,162.0
Standard,B,2250,1830,172.0
Standard,B,2500,1830,177.0
Standard,B,610,2130,128.0
Standard,B,810,2130,135.0
Standard,B,1020,2130,142.0
Standard,B,1220,2130,146.0
Standard,B,1420,2130,152.0
Standard,B,1630,2130,157.0
Standard,B,1830,2130,165.0
Standard,B,1990,2130,171.0
Standard,B,2250,2130,177.0
Standard,B,2500,2130,182.0
Standard,B,610,2530,139.0
Standard,B,810,2530,144.0
Standard,B,1020,2530,150.0
Standard,B,1220,2530,156.0
Standard,B,1420,2530,160.0
Standard,B,1630,2530,170.0
Standard,B,1830,2530,174.0
Standard,B,1990,2530,179.0
Standard,B,2250,2530,185.0
Standard,B,2500,2530,193.0
Standard,B,610,2700,144.0
Standard,B,810,2700,150.0
Standard,B,1020,2700,156.0
Standard,B,1220,2700,162.0
Standard,B,1420,2700,170.0
Standard,B,1630,2700,174.0
Standard,B,1830,2700,180.0
Standard,B,1990,2700,184.0
Standard,B,2250,2700,190.0
Standard,B,2500,2700,202.0
Standard,C,610,760,112.0
