system,band,width_mm,drop_mm,price
Standard,A,500,900,85.0
Standard,A,700,900,86.0
Standard,A,900,900,116.0
Standard,A,1100,900,124.0
Standard,A,1300,900,125.0
Standard,A,1500,900,140.0
Standard,A,1700,900,166.0
Standard,A,1900,900,191.0
Standard,A,2100,900,216.0
Standard,A,2300,900,215.0
Standard,A,2500,900,225.0
Standard,A,2700,900,240.0
Standard,A,2900,900,263.0
Standard,A,3100,900,286.0
Standard,A,3300,900,287.0
Standard,A,3500,900,302.0
Standard,A,3700,900,325.0
Standard,A,3900,900,337.0
Standard,A,4100,900,347.0
Standard,A,4300,900,348.0
Standard,A,4500,900,368.0
Standard,A,4700,900,383.0
Standard,A,4900,900,405.0
Standard,A,500,1100,88.0
Standard,A,700,1100,89.0
Standard,A,900,1100,120.0
Standard,A,1100,1100,141.0
Standard,A,1300,1100,141.0
Standard,A,1500,1100,159.0
Standard,A,1700,1100,186.0
Standard,A,1900,1100,216.0
Standard,A,2100,1100,245.0
Standard,A,2300,1100,245.0
Standard,A,2500,1100,255.0
Standard,A,2700,1100,270.0
Standard,A,2900,1100,295.0
Standard,A,3100,1100,324.0
Standard,A,3300,1100,323.0
Standard,A,3500,1100,341.0
Standard,A,3700,1100,369.0
Standard,A,3900,1100,381.0
Standard,A,4100,1100,390.0
Standard,A,4300,1100,392.0
Standard,A,4500,1100,417.0
Standard,A,4700,1100,433.0
Standard,A,4900,1100,457.0
Standard,A,500,1300,98.0
Standard,A,700,1300,99.0
Standard,A,900,1300,132.0
Standard,A,1100,1300,160.0
Standard,A,1300,1300,158.0
Standard,A,1500,1300,194.0
Standard,A,1700,1300,228.0
Standard,A,1900,1300,264.0
Standard,A,2100,1300,298.0
Standard,A,2300,1300,299.0
Standard,A,2500,1300,311.0
Standard,A,2700,1300,332.0
Standard,A,2900,1300,363.0
Standard,A,3100,1300,394.0
Standard,A,3300,1300,396.0
Standard,A,3500,1300,419.0
Standard,A,3700,1300,451.0
Standard,A,3900,1300,465.0
Standard,A,4100,1300,479.0
Standard,A,4300,1300,479.0
Standard,A,4500,1300,509.0
Standard,A,4700,1300,530.0
Standard,A,4900,1300,560.0
Standard,A,500,1500,108.0
Standard,A,700,1500,109.0
Standard,A,900,1500,148.0
Standard,A,1100,1500,173.0
Standard,A,1300,1500,174.0
Standard,A,1500,1500,210.0
Standard,A,1700,1500,250.0
Standard,A,1900,1500,288.0
Standard,A,2100,1500,327.0
Standard,A,2300,1500,327.0
Standard,A,2500,1500,339.0
Standard,A,2700,1500,361.0
Standard,A,2900,1500,398.0
Standard,A,3100,1500,434.0
Standard,A,3300,1500,434.0
Standard,A,3500,1500,459.0
Standard,A,3700,1500,492.0
Standard,A,3900,1500,508.0
Standard,A,4100,1500,524.0
Standard,A,4300,1500,524.0
Standard,A,4500,1500,557.0
Standard,A,4700,1500,579.0
Standard,A,4900,1500,612.0
Standard,A,500,1700,117.0
Standard,A,700,1700,119.0
Standard,A,900,1700,160.0
Standard,A,1100,1700,187.0
Standard,A,1300,1700,188.0
Standard,A,1500,1700,228.0
Standard,A,1700,1700,271.0
Standard,A,1900,1700,312.0
Standard,A,2100,1700,355.0
Standard,A,2300,1700,355.0
Standard,A,2500,1700,366.0
Standard,A,2700,1700,391.0
Standard,A,2900,1700,431.0
Standard,A,3100,1700,469.0
Standard,A,3300,1700,469.0
