system,name,band,range
Standard,Anchor,A,Essence
Standard,Antique,A,Essence
Standard,Canvas,A,Essence
Standard,Clove,A,Essence
Standard,Cobble,A,Essence
Standard,Glow White,A,Essence
Standard,Graphite Grey,A,Essence
Standard,Harbour Grey,A,Essence
Standard,Moonshine,A,Essence
Standard,Raven Black,A,Essence
Standard,Ultra White,A,Essence
Standard,Whicker,A,Essence
Standard,Whisper,A,Essence
Standard,White Oak,A,Essence
Standard,Zenith White,A,Essence
Standard,Dusk,B,Urban
Standard,Halcyon,B,Urban
Standard,Lily White,B,Urban
Standard,Midnight,B,Urban
Standard,Pewter,B,Urban
Standard,Radiance White,B,Urban
Standard,Seal,B,Urban
Standard,Astral,C,Expressions
Standard,Autumn Gold,C,Expressions
Standard,Chiffon,C,Expressions
Standard,Cirrus,C,Expressions
Standard,Cool White,D,Expressions
Standard,Flint,C,Expressions
Standard,Greige,C,Expressions
Standard,Haze,C,Expressions
Standard,Highshine White,D,Expressions
Standard,Medium Oak,C,Expressions
Standard,Misty Grey,C,Expressions
Standard,Rustic Oak,C,Expressions
Standard,Snow,C,Expressions
