system,band,width_mm,drop_mm,price
Standard,A,600,1200,23.0
Standard,A,760,1200,30.0
Standard,A,900,1200,33.0
Standard,A,1070,1200,38.0
Standard,A,1200,1200,41.0
Standard,A,1370,1200,48.0
Standard,A,1520,1200,52.0
Standard,A,1680,1200,57.0
Standard,A,1830,1200,61.0
Standard,A,2000,1200,70.0
Standard,A,2150,1200,81.0
Standard,A,2300,1200,84.0
Standard,A,2400,1200,88.0
Standard,A,600,1800,30.0
Standard,A,760,1800,36.0
Standard,A,900,1800,43.0
Standard,A,1070,1800,51.0
Standard,A,1200,1800,59.0
Standard,A,1370,1800,63.0
Standard,A,1520,1800,67.0
Standard,A,1680,1800,76.0
Standard,A,1830,1800,83.0
Standard,A,2000,1800,98.0
Standard,A,2150,1800,108.0
Standard,A,2300,1800,114.0
Standard,A,2400,1800,119.0
Standard,A,600,2400,36.0
Standard,A,760,2400,43.0
Standard,A,900,2400,52.0
Standard,A,1070,2400,60.0
Standard,A,1200,2400,67.0
Standard,A,1370,2400,76.0
Standard,A,1520,2400,84.0
Standard,A,1680,2400,92.0
Standard,A,1830,2400,99.0
Standard,A,2000,2400,119.0
Standard,A,2150,2400,130.0
Standard,A,2300,2400,140.0
Standard,A,2400,2400,148.0
Standard,A,600,3000,46.0
Standard,A,760,3000,54.0
Standard,A,900,3000,60.0
Standard,A,1070,3000,67.0
Standard,A,1200,3000,83.0
Standard,A,1370,3000,88.0
Standard,A,1520,3000,98.0
Standard,A,1680,3000,108.0
Standard,B,600,1200,25.0
Standard,B,760,1200,31.0
Standard,B,900,1200,35.0
Standard,B,1070,1200,39.0
Standard,B,1200,1200,42.0
Standard,B,1370,1200,50.0
Standard,B,1520,1200,54.0
Standard,B,1680,1200,60.0
Standard,B,1830,1200,63.0
Standard,B,2000,1200,75.0
Standard,B,2150,1200,85.0
Standard,B,2300,1200,88.0
Standard,B,2400,1200,92.0
Standard,B,600,1800,31.0
Standard,B,760,1800,37.0
Standard,B,900,1800,45.0
Standard,B,1070,1800,53.0
Standard,B,1200,1800,62.0
Standard,B,1370,1800,65.0
Standard,B,1520,1800,70.0
Standard,B,1680,1800,80.0
Standard,B,1830,1800,87.0
Standard,B,2000,1800,102.0
Standard,B,2150,1800,113.0
Standard,B,2300,1800,118.0
Standard,B,2400,1800,125.0
Standard,B,600,2400,37.0
Standard,B,760,2400,45.0
Standard,B,900,2400,54.0
Standard,B,1070,2400,62.0
Standard,B,1200,2400,70.0
Standard,B,1370,2400,80.0
Standard,B,1520,2400,88.0
Standard,B,1680,2400,96.0
Standard,B,1830,2400,104.0
Standard,B,2000,2400,125.0
Standard,B,2150,2400,139.0
Standard,B,2300,2400,145.0
Standard,B,2400,2400,155.0
Standard,B,600,3000,48.0
Standard,B,760,3000,57.0
Standard,B,900,3000,62.0
Standard,B,1070,3000,70.0
Standard,B,1200,3000,87.0
Standard,B,1370,3000,92.0
Standard,B,1520,3000,102.0
Standard,B,1680,3000,113.0
Standard,C,600,1200,29.0
Standard,C,760,1200,34.0
Standard,C,900,1200,39.0
Standard,C,1070,1200,47.0
Standard,C,1200,1200,49.0
Standard,C,1370,1200,57.0
Standard,C,1520,1200,62.0
Standard,C,1680,1200,67.0
Standard,C,1830,1200,71.0
Standard,C,2000,1200,85.0
Standard,C,2150,1200,96.0
Standard,C,2300,1200,99.0
Standard,C,2420,1200,106.0
Standard,C,2590,1200,114.0
Standard,C,600,1800,34.0
Standard,C,760,1800,43.0
Standard,C,900,1800,51.0
Standard,C,1070,1800,60.0
Standard,C,1200,1800,69.0
Standard,C,1370,1800,76.0
Standard,C,1520,1800,82.0
Standard,C,1680,1800,91.0
Standard,C,1830,1800,98.0
Standard,C,2000,1800,117.0
Standard,C,2150,1800,127.0
Standard,C,2300,1800,137.0
Standard,C,2420,1800,144.0
Standard,C,2590,1800,152.0
Standard,C,600,2400,43.0
Standard,C,760,2400,51.0
Standard,C,900,2400,62.0
Standard,C,1070,2400,70.0
Standard,C,1200,2400,82.0
Standard,C,1370,2400,91.0
Standard,C,1520,2400,99.0
Standard,C,1680,2400,110.0
Standard,C,1830,2400,118.0
Standard,C,2000,2400,144.0
Standard,C,2150,2400,156.0
Standard,C,2300,2400,166.0
Standard,C,2420,2400,176.0
Standard,C,2590,2400,188.0
Standard,C,600,3000,54.0
Standard,C,760,3000,64.0
Standard,C,900,3000,70.0
Standard,C,1070,3000,82.0
Standard,C,1200,3000,98.0
Standard,C,1370,3000,106.0
Standard,C,1520,3000,117.0
Standard,C,1680,3000,127.0
Standard,C,1830,3000,140.0
Standard,C,2000,3000,152.0
Standard,D,600,1200,35.0
Standard,D,760,1200,43.0
Standard,D,900,1200,50.0
Standard,D,1070,1200,57.0
Standard,D,1200,1200,62.0
Standard,D,1370,1200,70.0
Standard,D,1520,1200,78.0
Standard,D,1680,1200,84.0
Standard,D,1830,1200,91.0
Standard,D,2000,1200,108.0
Standard,D,2150,1200,120.0
Standard,D,2300,1200,124.0
Standard,D,2420,1200,130.0
Standard,D,2590,1200,142.0
Standard,D,600,1800,43.0
Standard,D,760,1800,54.0
Standard,D,900,1800,64.0
Standard,D,1070,1800,76.0
Standard,D,1200,1800,87.0
Standard,D,1370,1800,93.0
Standard,D,1520,1800,101.0
Standard,D,1680,1800,115.0
Standard,D,1830,1800,123.0
Standard,D,2000,1800,146.0
Standard,D,2150,1800,162.0
Standard,D,2300,1800,168.0
Standard,D,2420,1800,179.0
Standard,D,2590,1800,193.0
Standard,D,600,2400,54.0
Standard,D,760,2400,64.0
Standard,D,900,2400,78.0
Standard,D,1070,2400,90.0
Standard,D,1200,2400,101.0
Standard,D,1370,2400,115.0
Standard,D,1520,2400,124.0
Standard,D,1680,2400,139.0
Standard,D,1830,2400,149.0
Standard,D,2000,2400,179.0
Standard,D,2150,2400,197.0
Standard,D,2300,2400,207.0
Standard,D,2420,2400,219.0
Standard,D,2590,2400,236.0
Standard,D,600,3000,68.0
Standard,D,760,3000,81.0
Standard,D,900,3000,90.0
Standard,D,1070,3000,101.0
Standard,D,1200,3000,123.0
Standard,D,1370,3000,130.0
Standard,D,1520,3000,146.0
Standard,D,1680,3000,162.0
Standard,D,1830,3000,179.0
Standard,D,2000,3000,192.0
