system,name,special_effects
15mm,Brushed Copper,Yes
15mm,Brushed Nickel,No
15mm,Brushed Silver,No
15mm,Buttercup,No
15mm,Champagne,Yes
15mm,Charcoal Grey,No
15mm,Deep Ivy,No
15mm,Dusty Grey,No
15mm,Fresh Apple,No
15mm,Fuchsia,No
15mm,Glacier,Yes
15mm,Golden Yellow,No
15mm,Harvest,No
15mm,Ice Blue,No
15mm,Jet,No
15mm,Khaki,No
15mm,Latte,No
15mm,Magnolia,No
15mm,Melon,No
15mm,Mid Grey,No
15mm,Mint Cream,No
15mm,Mushroom,No
15mm,Oatmeal,No
15mm,Polar,No
15mm,Russet,No
15mm,Sapphire,No
15mm,Scarlet,No
15mm,Sea Blue,No
15mm,Silver,No
15mm,Soft Orange,No
15mm,White,No
25mm,Almond,?
25mm,Alpine,Yes
25mm,American Elm,Yes
25mm,Anthracite,?
25mm,Antique Silver,No
25mm,Ash,No
25mm,Barely Black,Yes
25mm,Black Gloss,No
25mm,Blue Haze,Yes
25mm,Brick,No
25mm,Bronze,No
25mm,Brushed Copper,Yes
25mm,Brushed Nickel,No
25mm,Brushed Silver,No
25mm,Buttercup,No
25mm,Calico,Yes
25mm,Caramel,No
25mm,Chalk White,No
25mm,Champagne,Yes
25mm,Charcoal Grey,No
25mm,Cherry,Yes
25mm,Chestnut,Yes
25mm,Classic Stripe,Yes
25mm,Classic White,No
25mm,Conker,Yes
25mm,Cool Aqua,No
25mm,Cool Sky,Yes
25mm,Copper,No
25mm,Cream,No
25mm,Creamy Apricot,Yes
25mm,Crushed Snow,?
25mm,Damson,No
25mm,Deep Ivy,No
25mm,Dorothy,No
25mm,Dusty Grey,No
25mm,Elderberry,Yes
25mm,Electric Aqua,No
25mm,Everglade,?
25mm,Fern Green,Yes
25mm,Filtra Black,Yes
25mm,Filtra Magnolia,Yes
25mm,Filtra Silver,Yes
25mm,Filtra White,Yes
25mm,Fresh Apple,No
25mm,Frosted Silver,No
25mm,Fruitwood,No
25mm,Fuchsia,No
25mm,Glacier,Yes
25mm,Glistening Gold,No
25mm,Gloss White,No
25mm,Gold Copper,No
25mm,Golden Yellow,No
25mm,Graphite,No
25mm,Harvest,No
25mm,Hessian,No
25mm,Honey,No
25mm,Hornbeam,Yes
25mm,Ice Blue,No
25mm,Ice Pink,Yes
25mm,Indian Yellow,No
25mm,Ivory,?
25mm,Jet,No
25mm,Khaki,No
25mm,Latte,No
25mm,London Fog,?
25mm,Magnolia,No
25mm,Mahogany,Yes
25mm,Marigold,No
25mm,Melba,No
25mm,Mellow Peach,No
25mm,Melon,No
25mm,Mercury,Yes
25mm,Mid Grey,No
