system,band,width_mm,drop_mm,price
15mm,STD,460,610,47.0
15mm,STD,610,610,50.0
15mm,STD,760,610,56.0
15mm,STD,910,610,62.0
15mm,STD,1060,610,66.0
15mm,STD,1210,610,69.0
15mm,STD,1360,610,75.0
15mm,STD,1510,610,76.0
15mm,STD,1660,610,85.0
15mm,STD,1810,610,86.0
15mm,STD,1960,610,94.0
15mm,STD,2110,610,97.0
15mm,STD,2260,610,100.0
15mm,STD,2410,610,107.0
15mm,STD,2560,610,110.0
15mm,STD,2710,610,116.0
15mm,STD,2860,610,119.0
15mm,STD,3010,610,123.0
15mm,STD,460,760,50.0
15mm,STD,610,760,56.0
15mm,STD,760,760,62.0
15mm,STD,910,760,66.0
15mm,STD,1060,760,70.0
15mm,STD,1210,760,75.0
15mm,STD,1360,760,81.0
15mm,STD,1510,760,86.0
15mm,STD,1660,760,94.0
15mm,STD,1810,760,97.0
15mm,STD,1960,760,100.0
15mm,STD,2110,760,107.0
15mm,STD,2260,760,114.0
15mm,STD,2410,760,119.0
15mm,STD,2560,760,123.0
15mm,STD,2710,760,128.0
15mm,STD,2860,760,138.0
15mm,STD,3010,760,146.0
15mm,STD,460,910,52.0
15mm,STD,610,910,61.0
15mm,STD,760,910,63.0
15mm,STD,910,910,69.0
15mm,STD,1060,910,75.0
15mm,STD,1210,910,81.0
15mm,STD,1360,910,88.0
15mm,STD,1510,910,96.0
15mm,STD,1660,910,100.0
15mm,STD,1810,910,107.0
15mm,STD,1960,910,114.0
15mm,STD,2110,910,119.0
15mm,STD,2260,910,123.0
15mm,STD,2410,910,128.0
15mm,STD,2560,910,136.0
15mm,STD,2710,910,143.0
15mm,STD,2860,910,149.0
15mm,STD,3010,910,156.0
15mm,STD,460,1060,56.0
15mm,STD,610,1060,62.0
15mm,STD,760,1060,69.0
15mm,STD,910,1060,75.0
15mm,STD,1060,1060,81.0
15mm,STD,1210,1060,88.0
15mm,STD,1360,1060,96.0
15mm,STD,1510,1060,100.0
15mm,STD,1660,1060,110.0
15mm,STD,1810,1060,116.0
15mm,STD,1960,1060,120.0
15mm,STD,2110,1060,128.0
15mm,STD,2260,1060,136.0
15mm,STD,2410,1060,143.0
15mm,STD,2560,1060,149.0
15mm,STD,2710,1060,156.0
15mm,STD,2860,1060,164.0
15mm,STD,3010,1060,171.0
15mm,STD,460,1210,61.0
15mm,STD,610,1210,63.0
15mm,STD,760,1210,70.0
15mm,STD,910,1210,81.0
15mm,STD,1060,1210,86.0
15mm,STD,1210,1210,96.0
15mm,STD,1360,1210,100.0
15mm,STD,1510,1210,110.0
15mm,STD,1660,1210,116.0
15mm,STD,1810,1210,123.0
15mm,STD,1960,1210,135.0
15mm,STD,2110,1210,138.0
15mm,STD,2260,1210,147.0
15mm,STD,2410,1210,155.0
15mm,STD,2560,1210,161.0
15mm,STD,2710,1210,166.0
15mm,STD,2860,1210,175.0
15mm,STD,3010,1210,183.0
15mm,STD,460,1360,63.0
15mm,STD,610,1360,70.0
15mm,STD,760,1360,81.0
15mm,STD,910,1360,88.0
15mm,STD,1060,1360,96.0
15mm,STD,1210,1360,105.0
15mm,STD,1360,1360,114.0
15mm,STD,1510,1360,120.0
15mm,STD,1660,1360,128.0
15mm,STD,1810,1360,138.0
15mm,STD,1960,1360,147.0
15mm,STD,2110,1360,156.0
15mm,STD,2260,1360,165.0
15mm,STD,2410,1360,172.0
15mm,STD,2560,1360,183.0
15mm,STD,2710,1360,190.0
15mm,STD,2860,1360,202.0
15mm,STD,3010,1360,211.0
15mm,STD,460,1510,66.0
15mm,STD,610,1510,75.0
15mm,STD,760,1510,86.0
15mm,STD,910,1510,96.0
15mm,STD,1060,1510,105.0
15mm,STD,1210,1510,114.0
15mm,STD,1360,1510,123.0
15mm,STD,1510,1510,135.0
15mm,STD,1660,1510,143.0
15mm,STD,1810,1510,155.0
15mm,STD,1960,1510,161.0
15mm,STD,2110,1510,171.0
15mm,STD,2260,1510,183.0
15mm,STD,2410,1510,190.0
15mm,STD,2560,1510,197.0
15mm,STD,2710,1510,206.0
15mm,STD,2860,1510,217.0
15mm,STD,3010,1510,226.0
15mm,STD,460,1660,69.0
15mm,STD,610,1660,81.0
15mm,STD,760,1660,94.0
15mm,STD,910,1660,100.0
15mm,STD,1060,1660,114.0
15mm,STD,1210,1660,123.0
15mm,STD,1360,1660,135.0
15mm,STD,1510,1660,146.0
15mm,STD,1660,1660,156.0
15mm,STD,1810,1660,165.0
15mm,STD,1960,1660,175.0
15mm,STD,2110,1660,185.0
15mm,STD,2260,1660,195.0
15mm,STD,2410,1660,206.0
15mm,STD,2560,1660,217.0
15mm,STD,2710,1660,229.0
15mm,STD,2860,1660,241.0
15mm,STD,3010,1660,252.0
15mm,STD,460,1810,75.0
15mm,STD,610,1810,88.0
15mm,STD,760,1810,100.0
15mm,STD,910,1810,114.0
15mm,STD,1060,1810,123.0
15mm,STD,1210,1810,136.0
15mm,STD,1360,1810,147.0
15mm,STD,1510,1810,157.0
15mm,STD,1660,1810,171.0
15mm,STD,1810,1810,183.0
15mm,STD,1960,1810,193.0
15mm,STD,2110,1810,205.0
15mm,STD,2260,1810,217.0
15mm,STD,2410,1810,229.0
15mm,STD,2560,1810,241.0
15mm,STD,2710,1810,255.0
15mm,STD,2860,1810,269.0
15mm,STD,3010,1810,282.0
15mm,STD,460,1960,75.0
15mm,STD,610,1960,88.0
15mm,STD,760,1960,100.0
15mm,STD,910,1960,114.0
15mm,STD,1060,1960,123.0
15mm,STD,1210,1960,136.0
15mm,STD,1360,1960,147.0
15mm,STD,1510,1960,161.0
15mm,STD,1660,1960,172.0
15mm,STD,1810,1960,185.0
15mm,STD,1960,1960,195.0
15mm,STD,2110,1960,206.0
15mm,STD,2260,1960,221.0
15mm,STD,2410,1960,233.0
15mm,STD,2560,1960,244.0
15mm,STD,2710,1960,257.0
15mm,STD,2860,1960,273.0
15mm,STD,3010,1960,283.0
15mm,STD,460,2110,76.0
15mm,STD,610,2110,94.0
15mm,STD,760,2110,105.0
15mm,STD,910,2110,119.0
15mm,STD,1060,2110,128.0
15mm,STD,1210,2110,146.0
15mm,STD,1360,2110,156.0
15mm,STD,1510,2110,171.0
15mm,STD,1660,2110,183.0
15mm,STD,1810,2110,193.0
15mm,STD,1960,2110,206.0
15mm,STD,2110,2110,220.0
15mm,STD,2260,2110,233.0
15mm,STD,2410,2110,244.0
15mm,STD,2560,2110,260.0
15mm,STD,2710,2110,270.0
15mm,STD,460,2260,81.0
15mm,STD,610,2260,94.0
15mm,STD,760,2260,107.0
15mm,STD,910,2260,120.0
15mm,STD,1060,2260,135.0
15mm,STD,1210,2260,147.0
15mm,STD,1360,2260,157.0
15mm,STD,1510,2260,172.0
15mm,STD,1660,2260,186.0
15mm,STD,1810,2260,197.0
15mm,STD,1960,2260,215.0
15mm,STD,2110,2260,229.0
15mm,STD,2260,2260,241.0
15mm,STD,2410,2260,255.0
15mm,STD,2560,2260,269.0
15mm,STD,460,2410,85.0
15mm,STD,610,2410,97.0
15mm,STD,760,2410,110.0
15mm,STD,910,2410,123.0
15mm,STD,1060,2410,138.0
15mm,STD,1210,2410,155.0
15mm,STD,1360,2410,166.0
15mm,STD,1510,2410,183.0
15mm,STD,1660,2410,195.0
15mm,STD,1810,2410,211.0
15mm,STD,1960,2410,225.0
15mm,STD,2110,2410,241.0
15mm,STD,2260,2410,252.0
15mm,STD,2410,2410,265.0
15mm,STD,460,2560,85.0
15mm,STD,610,2560,97.0
15mm,STD,760,2560,114.0
15mm,STD,910,2560,125.0
15mm,STD,1060,2560,143.0
15mm,STD,1210,2560,156.0
15mm,STD,1360,2560,171.0
15mm,STD,1510,2560,185.0
15mm,STD,1660,2560,197.0
15mm,STD,1810,2560,215.0
15mm,STD,1960,2560,232.0
15mm,STD,2110,2560,244.0
15mm,STD,2260,2560,260.0
15mm,STD,460,2710,85.0
15mm,STD,610,2710,97.0
15mm,STD,760,2710,114.0
15mm,STD,910,2710,125.0
15mm,STD,1060,2710,143.0
15mm,STD,1210,2710,156.0
15mm,STD,1360,2710,171.0
15mm,STD,1510,2710,185.0
15mm,STD,1660,2710,197.0
15mm,STD,1810,2710,215.0
15mm,STD,1960,2710,229.0
15mm,STD,2110,2710,244.0
15mm,STD,460,2860,85.0
15mm,STD,610,2860,100.0
15mm,STD,760,2860,116.0
15mm,STD,910,2860,128.0
15mm,STD,1060,2860,147.0
15mm,STD,1210,2860,161.0
15mm,STD,1360,2860,175.0
15mm,STD,1510,2860,193.0
15mm,STD,1660,2860,206.0
15mm,STD,1810,2860,221.0
15mm,STD,1960,2860,241.0
15mm,STD,460,3010,86.0
15mm,STD,610,3010,105.0
15mm,STD,760,3010,119.0
