system,band,width_mm,drop_mm,price
Screwfit,Solstice,400,400,52.0
Screwfit,Solstice,600,400,53.0
Screwfit,Solstice,800,400,54.0
Screwfit,Solstice,1000,400,55.0
Screwfit,Solstice,1200,400,56.0
Screwfit,Solstice,1400,400,57.0
Screwfit,Solstice,400,600,60.0
Screwfit,Solstice,600,600,61.0
Screwfit,Solstice,800,600,62.0
Screwfit,Solstice,1000,600,64.0
Screwfit,Solstice,1200,600,65.0
Screwfit,Solstice,1400,600,66.0
Screwfit,Solstice,400,800,69.0
Screwfit,Solstice,600,800,70.0
Screwfit,Solstice,800,800,71.0
Screwfit,Solstice,1000,800,73.0
Screwfit,Solstice,1200,800,75.0
Screwfit,Solstice,1400,800,78.0
Screwfit,Solstice,400,1000,79.0
Screwfit,Solstice,600,1000,80.0
Screwfit,Solstice,800,1000,83.0
Screwfit,Solstice,1000,1000,84.0
Screwfit,Solstice,1200,1000,85.0
Screwfit,Solstice,1400,1000,86.0
Screwfit,Solstice,400,1200,87.0
Screwfit,Solstice,600,1200,88.0
Screwfit,Solstice,800,1200,89.0
Screwfit,Solstice,1000,1200,90.0
Screwfit,Solstice,1200,1200,92.0
Screwfit,Solstice,1400,1200,94.0
Screwfit,Solstice,400,1400,98.0
Screwfit,Solstice,600,1400,100.0
Screwfit,Solstice,800,1400,101.0
Screwfit,Solstice,1000,1400,104.0
Screwfit,Solstice,1200,1400,105.0
Screwfit,Solstice,1400,1400,106.0
Screwfit,Solstice,400,1600,109.0
Screwfit,Solstice,600,1600,110.0
Screwfit,Solstice,800,1600,111.0
Screwfit,Solstice,1000,1600,112.0
Screwfit,Solstice,1200,1600,113.0
Screwfit,Solstice,1400,1600,114.0
Screwfit,Solstice,400,1800,115.0
Screwfit,Solstice,600,1800,116.0
Screwfit,Solstice,800,1800,119.0
Screwfit,Solstice,1000,1800,120.0
Screwfit,Solstice,1200,1800,121.0
Screwfit,Solstice,1400,1800,124.0
Screwfit,Solstice,400,2000,125.0
Screwfit,Solstice,600,2000,126.0
Screwfit,Solstice,800,2000,128.0
Screwfit,Solstice,1000,2000,130.0
Screwfit,Solstice,1200,2000,131.0
Screwfit,Solstice,1400,2000,132.0
Screwfit,Solstice,400,2200,134.0
Screwfit,Solstice,600,2200,135.0
Screwfit,Solstice,800,2200,139.0
Screwfit,Solstice,1000,2200,140.0
Screwfit,Solstice,1200,2200,141.0
Screwfit,Solstice,400,2400,144.0
Screwfit,Solstice,600,2400,145.0
