name,colour,band
Breeze In,Black,
Breeze In,Grey,
Breeze In,White,
Light Seal,Beige,
Light Seal,Black,
Light Seal,Dark Grey,
Light Seal,Light Grey,
Light Seal,White,
Scene Set,Beige,
Scene Set,Black,
Scene Set,Dark Grey,
Scene Set,Light Grey,
Scene Set,White,
Sheer Intimacy,Black,
Sheer Intimacy,White,
Alcott,Cappuccino,B
Alcott,Chalk,B
Blythe F.R,Beige,A
Blythe F.R,Charcoal,A
Blythe F.R,Silver,A
Blythe F.R,White,A
Clarice,Azure,C
Clarice,Fern,C
Clarice,Pewter,C
Clarice,Plum,C
Creped,Candy,B
Creped,Ivory,B
Creped,Linen,B
Creped,Pearl,B
Creped,Silver,B
Creped,Slate,B
Creped,White,B
Duette Batiste Sheer Fulltone,Elephant,E
Duette Batiste Sheer Fulltone,Lunar Rock,E
Duette Batiste Sheer Fulltone,Opal,E
Duette Batiste Sheer Fulltone,Papyrus,E
Duette Batiste Sheer Fulltone,Pearl,E
Duette Batiste Sheer Fulltone,Snow,E
Duette Batiste Sheer,Snow,
Duette Batiste,Dolphin,E
Duette Batiste,Fossil,E
Duette Batiste,Green Tea,E
Duette Batiste,Lunar Rock,E
Duette Batiste,Onyx,E
Duette Batiste,Opal,E
Duette Batiste,Papyrus,E
Duette Batiste,Pearl,E
Duette Batiste,Rose,E
Duette Batiste,Smoky Quartz,E
Duette Batiste,Snow,E
Duette Elan Dim Out,Agate Gray,D
Duette Elan Dim Out,Alabaster,D
Duette Elan Dim Out,Blue Grey,D
Duette Elan Dim Out,Cameo Blue,D
Duette Elan Dim Out,Carbon,D
Duette Elan Dim Out,Celery,D
Duette Elan Dim Out,Charcoal,D
Duette Elan Dim Out,Deep Balsam,D
Duette Elan Dim Out,Denim,D
Duette Elan Dim Out,Dolphin,D
Duette Elan Dim Out,Dove Grey,D
Duette Elan Dim Out,Ether,D
Duette Elan Dim Out,Muted Iris,D
Duette Elan Dim Out,Nude,D
Duette Elan Dim Out,Pine,D
Duette Elan Dim Out,Rust,D
Duette Elan Dim Out,Sandstone,D
Duette Elan Dim Out,Stone Ochre,D
Duette Elan,Abbey Stone,D
Duette Elan,Agate Gray,D
Duette Elan,Alabaster,D
Duette Elan,Blue Grey,D
Duette Elan,Brittany Blue,D
Duette Elan,Brushed Nickel,D
Duette Elan,Cameo Blue,D
Duette Elan,Carbon,D
Duette Elan,Celery,D
Duette Elan,Charcoal,D
Duette Elan,Deep Balsam,D
Duette Elan,Denim,D
Duette Elan,Dolphin,D
Duette Elan,Dove Grey,D
Duette Elan,Elephant Sync,D
Duette Elan,Ether,D
Duette Elan,Gentle Gold,D
Duette Elan,Legend,D
Duette Elan,Muted Iris,D
Duette Elan,Nude,D
Duette Elan,Pearl Blue,D
Duette Elan,Pine,D
Duette Elan,Potters Clay,D
Duette Elan,Rust,D
Duette Elan,Sandstone,D
Duette Elan,Snow,D
Duette Elan,Stone Ochre,D
Duette Hopsack Dim Out,Agate Gray,C
Duette Hopsack Dim Out,Grey Statue,C
Duette Hopsack Dim Out,Stone Ochre,C
Duette Hopsack Dim Out,Swan,C
Duette Hopsack Dim Out,White,C
Duette Hopsack,Agate Gray,C
Duette Hopsack,Grey Statue,C
Duette Hopsack,Stone Ochre,C
Duette Hopsack,Swan,C
Duette Hopsack,White,C
Duette Linum Blackout,Blush,
Duette Linum Blackout,Celery,
Duette Linum Blackout,Charcoal,
Duette Linum Blackout,Dolphin,
Duette Linum Blackout,Elephant Clay,
Duette Linum Blackout,Grey Cumulus,
Duette Linum Blackout,Ocean,
Duette Linum Blackout,Storm,
Duette Linum Blackout,Winter,
Duette Linum,Blush,C
Duette Linum,Celery,C
Duette Linum,Charcoal,C
Duette Linum,Dolphin,C
Duette Linum,Elephant Clay,C
Duette Linum,Grey Cumulus,C
Duette Linum,Ocean,C
Duette Linum,Storm,C
Duette Linum,Winter,C
Duette Montana Blackout,Dolphin,
Duette Montana Blackout,Swan,
Duette Montana,Dolphin,C
Duette Montana,Swan,C
Duette Pearl,Bronzite,D
Duette Pearl,Moonstone,D
Duette Pearl,Quartz,D
Duette Unix Dim Out FR,Bright White,E
Duette Unix Dim Out FR,Buttercup,E
Duette Unix Dim Out FR,Crushed Cotton,E
Duette Unix Dim Out FR,Ivory,E
Duette Unix Dim Out FR,Raven,E
Duette Unix Dim Out FR,Silver Plate,E
Duette Unix Dim Out,Bleached,D
Duette Unix Dim Out,Bone,D
Duette Unix Dim Out,Distant Hills,D
Duette Unix Dim Out,Dolphin,D
Duette Unix Dim Out,Elephant,D
Duette Unix Dim Out,Hessian Cream,D
Duette Unix Dim Out,Ice White,D
Duette Unix Dim Out,Icicle,D
Duette Unix Dim Out,Ivory,D
Duette Unix Dim Out,Midnight,D
Duette Unix Dim Out,Pewter,D
Duette Unix Dim Out,Raven,D
Duette Unix Dim Out,Sand,D
Duette Unix,Alabaster,C
Duette Unix,Bright White,C
Duette Unix,Dolphin,C
Duette Unix,Elephant,C
Duette Unix,Ivory,C
Duette Unix,Morning Light,C
Duette Unix,Mouse Sync,C
Duette Unix,Pewter,C
Duette Unix,Raven,C
Duette Unix,Sand,C
Duette Unix,Telegray,C
Duette Unix,Twilight,C
Duette Unix,Wild Jungle,C
Duette Vantage Dim Out,Agate Gray,C
Duette Vantage Dim Out,Distant Hills,C
Duette Vantage Dim Out,Dolphin Sync,C
Duette Vantage Dim Out,Forest,C
Duette Vantage Dim Out,Hickory Ash,C
Duette Vantage Dim Out,Olive,C
Duette Vantage Dim Out,Oyster,C
Duette Vantage Dim Out,Pearl River,C
Duette Vantage,Forest,C
Duette Vantage,Hickory Ash,C
Duette Vantage,Olive,C
Duette Vantage,Oyster,C
Duette Vantage,Pearl River,C
Fairhaven,Blue,Elements
Fairhaven,Ice,Elements
Florence,Apricot,Elements
Florence,Stone,Elements
Florence,White,Elements
Hesper,Blossom,A
Hesper,Cotton White,A
Hesper,Earth,A
Hesper,Grass,A
Hesper,Ocean,A
Hesper,Steel,A
Hesper,White,A
Hive Blackout FR,Grey,D
Hive Blackout FR,Sand,D
Hive Blackout FR,White,D
Hive Blackout,Cream,D
Hive Blackout,Duck Egg,D
Hive Blackout,Forest,D
Hive Blackout,Green,D
Hive Blackout,Grey,D
Hive Blackout,Heather,D
Hive Blackout,Light Grey,D
Hive Blackout,Navy,D
Hive Blackout,Sand,D
Hive Blackout,Slate Grey,D
Hive Blackout,Soft Beige,D
Hive Blackout,Taupe,D
Hive Blackout,White,D
Hive Blackout,Yellow,D
Hive Blackout,Dark Grey Texture,D
Hive Blackout,Grass Texture,D
Hive Blackout,Light Grey Texture,D
Hive Blackout,Natural Texture,D
Hive Blackout,Navy Texture,D
Hive Deluxe Blackout,Dove,D
Hive Deluxe Blackout,Onyx,D
Hive Deluxe Blackout,Oyster,D
Hive Deluxe Blackout,Steel,D
Hive Deluxe Blackout,Swan,D
Hive Deluxe,Dove,C
Hive Deluxe,Onyx,C
Hive Deluxe,Oyster,C
Hive Deluxe,Steel,C
Hive Deluxe,Swan,C
Hive Laguna,Henna,D
Hive Laguna,Natural,D
Hive Matrix,Dark Grey Texture,C
Hive Matrix,Grass Texture,C
Hive Matrix,Light Grey Texture,C
Hive Matrix,Natural Texture,C
Hive Matrix,Navy Texture,C
