system,band,width_mm,drop_mm,price
Standard Cord Freehang,Elements,250,200,72.0
Standard Cord Freehang,Elements,400,200,76.0
Standard Cord Freehang,Elements,550,200,78.0
Standard Cord Freehang,Elements,700,200,81.0
Standard Cord Freehang,Elements,850,200,82.0
Standard Cord Freehang,Elements,1000,200,85.0
Standard Cord Freehang,Elements,1150,200,92.0
Standard Cord Freehang,Elements,1300,200,94.0
Standard Cord Freehang,Elements,1450,200,100.0
Standard Cord Freehang,Elements,1600,200,104.0
Standard Cord Freehang,Elements,250,400,76.0
Standard Cord Freehang,Elements,400,400,80.0
Standard Cord Freehang,Elements,550,400,82.0
Standard Cord Freehang,Elements,700,400,84.0
Standard Cord Freehang,Elements,850,400,85.0
Standard Cord Freehang,Elements,1000,400,93.0
Standard Cord Freehang,Elements,1150,400,99.0
Standard Cord Freehang,Elements,1300,400,102.0
Standard Cord Freehang,Elements,1450,400,109.0
Standard Cord Freehang,Elements,1600,400,113.0
Standard Cord Freehang,Elements,250,600,80.0
Standard Cord Freehang,Elements,400,600,82.0
Standard Cord Freehang,Elements,550,600,84.0
Standard Cord Freehang,Elements,700,600,87.0
Standard Cord Freehang,Elements,850,600,92.0
Standard Cord Freehang,Elements,1000,600,100.0
Standard Cord Freehang,Elements,1150,600,104.0
Standard Cord Freehang,Elements,1300,600,111.0
Standard Cord Freehang,Elements,1450,600,114.0
Standard Cord Freehang,Elements,1600,600,121.0
Standard Cord Freehang,Elements,250,800,81.0
Standard Cord Freehang,Elements,400,800,84.0
Standard Cord Freehang,Elements,550,800,87.0
Standard Cord Freehang,Elements,700,800,93.0
Standard Cord Freehang,Elements,850,800,99.0
Standard Cord Freehang,Elements,1000,800,104.0
Standard Cord Freehang,Elements,1150,800,111.0
Standard Cord Freehang,Elements,1300,800,118.0
Standard Cord Freehang,Elements,1450,800,123.0
Standard Cord Freehang,Elements,1600,800,130.0
Standard Cord Freehang,Elements,250,1000,83.0
Standard Cord Freehang,Elements,400,1000,87.0
Standard Cord Freehang,Elements,550,1000,93.0
Standard Cord Freehang,Elements,700,1000,99.0
Standard Cord Freehang,Elements,850,1000,102.0
Standard Cord Freehang,Elements,1000,1000,111.0
Standard Cord Freehang,Elements,1150,1000,114.0
Standard Cord Freehang,Elements,1300,1000,121.0
Standard Cord Freehang,Elements,1450,1000,129.0
Standard Cord Freehang,Elements,1600,1000,140.0
Standard Cord Freehang,Elements,250,1200,87.0
Standard Cord Freehang,Elements,400,1200,94.0
Standard Cord Freehang,Elements,550,1200,100.0
Standard Cord Freehang,Elements,700,1200,105.0
Standard Cord Freehang,Elements,850,1200,111.0
Standard Cord Freehang,Elements,1000,1200,118.0
Standard Cord Freehang,Elements,1150,1200,126.0
Standard Cord Freehang,Elements,1300,1200,130.0
Standard Cord Freehang,Elements,1450,1200,141.0
Standard Cord Freehang,Elements,1600,1200,148.0
Standard Cord Freehang,Elements,250,1400,93.0
Standard Cord Freehang,Elements,400,1400,100.0
Standard Cord Freehang,Elements,550,1400,105.0
Standard Cord Freehang,Elements,700,1400,113.0
Standard Cord Freehang,Elements,850,1400,118.0
Standard Cord Freehang,Elements,1000,1400,127.0
Standard Cord Freehang,Elements,1150,1400,134.0
Standard Cord Freehang,Elements,1300,1400,141.0
Standard Cord Freehang,Elements,1450,1400,147.0
Standard Cord Freehang,Elements,1600,1400,153.0
Standard Cord Freehang,Elements,250,1600,99.0
Standard Cord Freehang,Elements,400,1600,105.0
Standard Cord Freehang,Elements,550,1600,113.0
Standard Cord Freehang,Elements,700,1600,120.0
Standard Cord Freehang,Elements,850,1600,127.0
Standard Cord Freehang,Elements,1000,1600,136.0
Standard Cord Freehang,Elements,1150,1600,146.0
Standard Cord Freehang,Elements,1300,1600,152.0
Standard Cord Freehang,Elements,1450,1600,157.0
Standard Cord Freehang,Elements,250,1800,104.0
Standard Cord Freehang,Elements,400,1800,113.0
Standard Cord Freehang,Elements,550,1800,120.0
Standard Cord Freehang,Elements,700,1800,129.0
Standard Cord Freehang,Elements,850,1800,140.0
Standard Cord Freehang,Elements,1000,1800,149.0
Standard Cord Freehang,Elements,1150,1800,156.0
Standard Cord Freehang,Elements,1300,1800,165.0
Standard Cord Freehang,Elements,250,2000,111.0
Standard Cord Freehang,Elements,400,2000,120.0
Standard Cord Freehang,Elements,550,2000,129.0
Standard Cord Freehang,Elements,700,2000,141.0
Standard Cord Freehang,Elements,850,2000,149.0
Standard Cord Freehang,Elements,1000,2000,158.0
Standard Cord Freehang,Elements,1150,2000,169.0
