name,colour,band
Acacia BO Roller,Ebony,A
Ada Roller,Blue,Elements
Ada Roller,Cherry,Elements
Ada Roller,White,Elements
Algarve Roller,Autumn,B
Algarve Roller,Spring,B
Algarve Roller,Summer,B
Alta Blackout Roller,Frost,D
Alta Blackout Roller,Platinum,D
Alta Roller,Ice,B
Alta Roller,Silver,B
Argent BO Roller,Champagne,E
Argent BO Roller,Copper,E
Argent BO Roller,Gold,E
Argent BO Roller,Mercury,E
Artisan Roller,Black,C
Artisan Roller,Olive,C
Arundel Roller,Charcoal,A
Arundel Roller,Grey,A
Arundel Roller,Ivory,A
Arundel Roller,Taupe,A
Arundel Roller,White,A
Aspect Roller,Licorice,C
Aspect Roller,Wheat,C
Aspect Roller,Whisper Grey,C
Aspect Roller,White,C
Aspen Roller,Platinum,B
Aspen Roller,Powder,B
Aspen Roller,Sand,B
Aspen Roller,Sky,B
Aspen Roller,Snowdrop,B
Athena Roller,Coral,B
Athena Roller,Teal,B
Atlantex asc Roller,Aubergine,B
Atlantex asc Roller,Black,B
Atlantex asc Roller,Cream,B
Atlantex asc Roller,Dark Beige,B
Atlantex asc Roller,Dark Blue,B
Atlantex asc Roller,Grey,B
Atlantex asc Roller,Lime,B
Atlantex asc Roller,Muted Gold,B
Atlantex asc Roller,Navy,B
Atlantex asc Roller,Pewter,B
Atlantex asc Roller,Silver,B
Atlantex asc Roller,Taupe,B
Atlantex asc Roller,White,B
Atlantex Roller,Aubergine,A
Atlantex Roller,Black,A
Atlantex Roller,Cream,A
Atlantex Roller,Dark Beige,A
Atlantex Roller,Dark Blue,A
Atlantex Roller,Fresh Apple,A
Atlantex Roller,Grey,A
Atlantex Roller,Lime,A
Atlantex Roller,Muted Gold,A
Atlantex Roller,Navy,A
Atlantex Roller,Pewter,A
Atlantex Roller,Silver,A
Atlantex Roller,Taupe,A
Atlantex Roller,White,A
Autumn Roller,White,C
Aveline Roller,Iron,B
Aveline Roller,Mauve,B
Aveline Roller,Terracotta,B
Aveline Roller,Yellow,B
Axel Roller,Indigo,D
Axel Roller,Plaster,D
Axel Roller,Slate,D
Azalea BO Roller,Pink,B
Bahama Roller,White,B
Bamboo Louvolite Roller,Pacific,A
Bamboo Roller,Ivory,Elements
Bamboo Roller,White,Elements
Banlight Duo FR 3.0 Roller,Anthracite,B
Banlight Duo FR 3.0 Roller,Baby Lavender,B
Banlight Duo FR 3.0 Roller,Biscotti,B
Banlight Duo FR 3.0 Roller,Black,B
Banlight Duo FR 3.0 Roller,Bright White,B
Banlight Duo FR 3.0 Roller,Calico,B
Banlight Duo FR 3.0 Roller,Charcoal,B
Banlight Duo FR 3.0 Roller,Concrete,B
Banlight Duo FR 3.0 Roller,Cream,B
Banlight Duo FR 3.0 Roller,Desert Sage,B
Banlight Duo FR 3.0 Roller,Dijon,B
Banlight Duo FR 3.0 Roller,Glacier Blue,B
Banlight Duo FR 3.0 Roller,Green,B
Banlight Duo FR 3.0 Roller,Grey,B
Banlight Duo FR 3.0 Roller,Iris,B
Banlight Duo FR 3.0 Roller,Iron,B
Banlight Duo FR 3.0 Roller,Lichen,B
Banlight Duo FR 3.0 Roller,Linen,B
Banlight Duo FR 3.0 Roller,Marina,B
Banlight Duo FR 3.0 Roller,Navy,B
Banlight Duo FR 3.0 Roller,Nude,B
Banlight Duo FR 3.0 Roller,Ocean,B
Banlight Duo FR 3.0 Roller,Old Gold,B
Banlight Duo FR 3.0 Roller,Pale Grey,B
Banlight Duo FR 3.0 Roller,Pearl,B
Banlight Duo FR 3.0 Roller,Redcurrant,B
Banlight Duo FR 3.0 Roller,Rose,B
Banlight Duo FR 3.0 Roller,Sand,B
Banlight Duo FR 3.0 Roller,Smokey Blue,B
Banlight Duo FR 3.0 Roller,Stone Grey,B
Banlight Duo FR 3.0 Roller,Taupe,B
Banlight Duo FR 3.0 Roller,Teal,B
Banlight Duo FR 3.0 Roller,Ultimate Grey,B
Banlight Duo FR 3.0 Roller,Vanilla,B
Banlight Duo FR 3.0 Roller,White,B
Birdsong Roller,Colour Crush,A
Birdsong Roller,Daybreak,A
Birdsong Roller,Midnight,A
Boleyn BO Roller,Moonstone,A
Bonsai Roller,Aspen,B
Bonsai Roller,Fig,B
Bonsai Roller,Magnolia,B
Bora Roller,Cream,A
Bora Roller,Grey,A
Bora Roller,Linen,A
Bora Roller,White,A
Boston FR Roller,Black,B
Boston FR Roller,Ecru,B
Boston FR Roller,Shadow,B
Boston FR Roller,Silk,B
Botanic Roller,Rust,D
Botanic Roller,Violet,D
Bounce Roller,Pink,D
Bounce Roller,Putty,D
Brighton Stripe BO Roller,Charcoal,B
Bubbles Louvolite Roller,White,
Bugs BO Roller,Life,D
Burst Roller,Citrus,D
Burst Roller,Coral,D
Burst Roller,Dusky Pink,D
Burst Roller,Graphite,D
Burst Roller,Teal,D
Cadence Roller Blind,Grey,A
Cadence Roller Blind,Natural,A
Cadence Roller Blind,White,A
Carnival BO Roller,Anthracite,B
Carnival BO Roller,Birch,B
Carnival BO Roller,Bubblegum,B
Carnival BO Roller,Chelsea,B
Carnival BO Roller,China White,B
Carnival BO Roller,Cream,B
Carnival BO Roller,Ecru,B
Carnival BO Roller,Eden,B
Carnival BO Roller,Ivory,B
Carnival BO Roller,Kiwi,B
Carnival BO Roller,Lily,B
Carnival BO Roller,Luna,B
Carnival BO Roller,Malbec,B
Carnival BO Roller,Navy,B
Carnival BO Roller,Nougat,B
Carnival BO Roller,Ochre,B
Carnival BO Roller,Pacific,B
Carnival BO Roller,Papaya,B
Carnival BO Roller,Pink,B
Carnival BO Roller,Praline,B
Carnival BO Roller,Purple,B
Carnival BO Roller,Raven,B
Carnival BO Roller,Red,B
Carnival BO Roller,Sapphire,B
Carnival BO Roller,Shadow,B
Carnival BO Roller,Sky,B
Carnival BO Roller,Sunset,B
Carnival BO Roller,Taupe,B
Carnival BO Roller,Teal,B
Carnival BO Roller,Terracotta,B
Carnival BO Roller,Willow,B
Carnival Roller,Anthracite,A
Carnival Roller,Birch,A
Carnival Roller,Bubblegum,A
Carnival Roller,China White,A
Carnival Roller,Cream,A
Carnival Roller,Ecru,A
Carnival Roller,Eden,A
Carnival Roller,Ivory,A
Carnival Roller,Kiwi,A
Carnival Roller,Lily,A
Carnival Roller,Luna,A
Carnival Roller,Malbec,A
Carnival Roller,Navy,A
Carnival Roller,Nougat,A
Carnival Roller,Ochre,A
Carnival Roller,Pacific,A
Carnival Roller,Papaya,A
Carnival Roller,Pink,A
Carnival Roller,Praline,A
Carnival Roller,Purple,A
Carnival Roller,Raven,A
Carnival Roller,Red,A
Carnival Roller,Sapphire,A
Carnival Roller,Shadow,A
Carnival Roller,Sky,A
Carnival Roller,Sunset,A
Carnival Roller,Taupe,A
Carnival Roller,Teal,A
Carnival Roller,Terracotta,A
Carnival Roller,Willow,A
Carter Roller,Chilli,D
Carter Roller,Cinnamon,D
Carter Roller,Matcha,D
Carter Roller,Neutral,D
Carter Roller,Pewter,D
Caspian Roller,Beige,Elements
Caspian Roller,Cream,Elements
Caspian Roller,Iron,Elements
Caspian Roller,Optic White,Elements
Caspian Roller,White,Elements
Charm Blackout Roller,Beige,C
Charm Blackout Roller,Grey,C
Charm Blackout Roller,Ivory,C
Charm Blackout Roller,White,C
Charm Roller,Beige,Elements
Charm Roller,Grey,Elements
Charm Roller,White,Elements
Chatsworth Roller,Grey,A
Chatsworth Roller,White,A
Cherry Blossom Roller,Misty Blue,D
Chester Roller,Clay,D
Chester Roller,Gold,D
Chester Roller,Jade,D
Chester Roller,Ruby,D
Chindi Blackout Roller,Navy,D
Chindi Blackout Roller,Ochre,D
Clarice Roller,Azure,C
Clarice Roller,Fern,C
Clarice Roller,Pewter,C
Clarice Roller,Plum,C
Claudia Roller,Bubblegum,C
Claudia Roller,Dill,C
Claudia Roller,Grape,C
Coast Roller,Lavender,B
Coast Roller,Mist,B
Collina BO Roller,Champagne Fizz,E
Collina BO Roller,Diamond Dust,E
Collina BO Roller,Lilypad,E
Collina BO Roller,Moonlight Mink,E
Como BO Roller,Bella,C
Como Roller,Lago,B
Como Roller,Ocra,B
Como Roller,Verde,B
Corsica Roller,Cream,Elements
Corsica Roller,Grey,Elements
Corsica Roller,Ivory,Elements
Corsica Roller,White,Elements
Cotton Flower Roller,Blush,B
Cotton Flower Roller,Mineral,B
Cotton Flower Roller,Ochre,B
Courtney Roller,Apricot,B
Courtney Roller,Blush,B
Courtney Roller,Lilac,B
Courtney Roller,Smoke,B
Crush BO Roller,Chateau Grey,E
Crush BO Roller,Cornish Blue,E
Crush BO Roller,London Slate,E
Crush BO Roller,Nordic Mist,E
Crush BO Roller,Whistler White,E
Cubik Roller,Ivory,B
Cubik Roller,Navy,B
Cubik Roller,Snow,B
Dahlia BO Roller,Blue,C
Dahlia BO Roller,Blush,C
Daisy BO Roller,Khaki,C
Daisy BO Roller,Linen,C
Daisy BO Roller,Pink,C
Damani Roller,Blue,D
Damani Roller,Rouge,D
Damask BO Roller,Stone,D
Dapple Spc Plus Roller,Chalk,
Dapple Spc Plus Roller,Charcoal,
Dapple Spc Plus Roller,Flint,
Dapple Spc Plus Roller,Royal Blue,
Dapple Spc Plus Roller,White,
Daybreak Louvolite Roller,Alabaster,
Daybreak Louvolite Roller,Ash,
Daybreak Louvolite Roller,Black,
Daybreak Louvolite Roller,Flint,
Daybreak Louvolite Roller,Mink,
Daybreak Louvolite Roller,Mocha,
Daybreak Louvolite Roller,Mushroom,
Daybreak Louvolite Roller,Stone,
Daybreak Louvolite Roller,Storm,
Daybreak Louvolite Roller,White,
Didsbury BO Roller,Grey,C
Didsbury BO Roller,Navy,C
Didsbury BO Roller,Oatmeal,C
Dinosaurs BO Roller,Prehistoric,B
Draper Roller,Black,B
Draper Roller,Ochre,B
Dreamy Roller,Pastel,D
Dune Louvolite Roller,Linen,
Dunham BO Roller,Natural,C
Dunham BO Roller,Ochre,C
Dunham BO Roller,Slate,C
Dunham BO Roller,Terracotta,C
Elegance Blackout Roller,Gold,D
Elegance Blackout Roller,Pearl,D
Elegance Blackout Roller,Silver,D
Elegance Roller,Gold,D
Elegance Roller,Pearl,D
Elegance Roller,Silver,D
Elliot Roller,Cyan,D
Elliot Roller,Nude,D
Elliot Roller,Taupe,D
Elsie Roller,Sage,D
Emelina Roller,Berry,D
Emelina Roller,Ochre,D
Emelina Roller,Paprika,D
Emelina Roller,Sea Foam,D
Euan Roller,Barley,C
Euan Roller,Monochrome,C
Euan Roller,Pumpkin,C
Euan Roller,Wine,C
Evita Roller,Linen,Elements
Evita Roller,White,Elements
Ex-Lite BO Roller,Anthracite,B
Ex-Lite BO Roller,Bisque,B
Ex-Lite BO Roller,Black,B
Ex-Lite BO Roller,Canvas,B
Ex-Lite BO Roller,Cream,B
Ex-Lite BO Roller,Healthcare Blue,B
Ex-Lite BO Roller,Healthcare Green,B
Ex-Lite BO Roller,Light Grey,B
Ex-Lite BO Roller,Navy,B
Ex-Lite BO Roller,Putty,B
Ex-Lite BO Roller,Slate,B
Ex-Lite BO Roller,Snow,B
Ex-Lite BO Roller,White,B
Felix asc Roller,Coffee,D
Felix asc Roller,Fire,D
Felix asc Roller,Fuchsia,D
Felix asc Roller,Silver,D
Felix asc Roller,Teal,D
Fiji Louvolite Roller,Green,
Fiji Louvolite Roller,Sand,
Fiji Louvolite Roller,Slate,
Florence Blackout Roller,Grey,C
Florence Blackout Roller,White,C
Florence BO Louvolite Roller,Cathedral Grey,
Florence BO Louvolite Roller,Persian Blue,
Florence BO Louvolite Roller,Tapestry Beige,
Florence BO Louvolite Roller,Terracotta,
Florence BO Louvolite Roller,Topiary,
Florence Roller,Green,A
Florence Roller,Peach,A
Florence Roller,Stone,A
Florence Roller,White,A
Florentina Roller,Indigo,C
Florentina Roller,Iris,C
Florentina Roller,Rust,C
Flores Roller,Autumn,A
Flores Roller,Spring,A
Foss Roller,Blush,D
Foss Roller,Elephant,D
Fuchsia Swingtime BO Roller,Emerald,
Fuchsia Swingtime BO Roller,Ink,
Fuchsia Swingtime BO Roller,Pink,
Fuchsia Swingtime BO Roller,Saffron,
Fuchsia Swingtime BO Roller,Vintage,
Fuse Roller,Gold,C
Fuse Roller,Silver,C
Fuse Roller,Tinsel,C
Gingham Roller,Evergreen,C
