system,band,width_mm,drop_mm,price
Louvolite,A,610,760,41.0
Louvolite,A,810,760,45.0
Louvolite,A,1020,760,47.0
Louvolite,A,1220,760,52.0
Louvolite,A,1420,760,57.0
Louvolite,A,1630,760,60.0
Louvolite,A,1830,760,60.0
Louvolite,A,2030,760,84.0
Louvolite,A,2240,760,92.0
Louvolite,A,2440,760,100.0
Louvolite,A,2640,760,104.0
Louvolite,A,2850,760,105.0
Louvolite,A,3000,760,110.0
Louvolite,A,3150,760,122.0
Louvolite,A,3300,760,136.0
Louvolite,A,3500,760,149.0
Louvolite,A,610,910,47.0
Louvolite,A,810,910,47.0
Louvolite,A,1020,910,48.0
Louvolite,A,1220,910,63.0
Louvolite,A,1420,910,60.0
Louvolite,A,1630,910,64.0
Louvolite,A,1830,910,67.0
Louvolite,A,2030,910,84.0
Louvolite,A,2240,910,92.0
Louvolite,A,2440,910,100.0
Louvolite,A,2640,910,104.0
Louvolite,A,2850,910,105.0
Louvolite,A,3000,910,110.0
Louvolite,A,3150,910,123.0
Louvolite,A,3300,910,137.0
Louvolite,A,3500,910,150.0
Louvolite,A,610,1220,52.0
Louvolite,A,810,1220,52.0
Louvolite,A,1020,1220,57.0
Louvolite,A,1220,1220,68.0
Louvolite,A,1420,1220,68.0
Louvolite,A,1630,1220,71.0
Louvolite,A,1830,1220,72.0
Louvolite,A,2030,1220,88.0
Louvolite,A,2240,1220,92.0
Louvolite,A,2440,1220,100.0
Louvolite,A,2640,1220,104.0
Louvolite,A,2850,1220,109.0
Louvolite,A,3000,1220,110.0
Louvolite,A,3150,1220,125.0
Louvolite,A,3300,1220,138.0
Louvolite,A,3500,1220,151.0
Louvolite,A,610,1520,68.0
Louvolite,A,810,1520,71.0
Louvolite,A,1020,1520,72.0
Louvolite,A,1220,1520,72.0
Louvolite,A,1420,1520,73.0
Louvolite,A,1630,1520,77.0
Louvolite,A,1830,1520,77.0
Louvolite,A,2030,1520,88.0
Louvolite,A,2240,1520,92.0
Louvolite,A,2440,1520,100.0
Louvolite,A,2640,1520,104.0
Louvolite,A,2850,1520,109.0
Louvolite,A,3000,1520,110.0
Louvolite,A,3150,1520,126.0
Louvolite,A,3300,1520,139.0
Louvolite,A,3500,1520,152.0
Louvolite,A,610,1830,73.0
Louvolite,A,810,1830,77.0
Louvolite,A,1020,1830,80.0
Louvolite,A,1220,1830,80.0
Louvolite,A,1420,1830,82.0
Louvolite,A,1630,1830,83.0
Louvolite,A,1830,1830,83.0
Louvolite,A,2030,1830,88.0
Louvolite,A,2240,1830,94.0
Louvolite,A,2440,1830,100.0
Louvolite,A,2640,1830,104.0
Louvolite,A,2850,1830,109.0
Louvolite,A,3000,1830,111.0
Louvolite,A,3150,1830,128.0
Louvolite,A,3300,1830,141.0
Louvolite,A,3500,1830,155.0
Louvolite,A,610,2130,82.0
Louvolite,A,810,2130,83.0
Louvolite,A,1020,2130,84.0
Louvolite,A,1220,2130,84.0
Louvolite,A,1420,2130,88.0
Louvolite,A,1630,2130,88.0
Louvolite,A,1830,2130,92.0
Louvolite,A,2030,2130,105.0
Louvolite,A,2240,2130,110.0
Louvolite,A,2440,2130,118.0
Louvolite,A,2640,2130,126.0
Louvolite,A,2850,2130,130.0
Louvolite,A,3000,2130,140.0
Louvolite,A,3150,2130,153.0
Louvolite,A,3300,2130,170.0
Louvolite,A,3500,2130,185.0
Louvolite,A,610,2430,84.0
Louvolite,A,810,2430,87.0
Louvolite,A,1020,2430,88.0
Louvolite,A,1220,2430,92.0
Louvolite,A,1420,2430,94.0
Louvolite,A,1630,2430,100.0
Louvolite,A,1830,2430,101.0
Louvolite,A,2030,2430,119.0
Louvolite,A,2240,2430,128.0
Louvolite,A,2440,2430,139.0
Louvolite,A,2640,2430,143.0
Louvolite,A,2850,2430,150.0
Louvolite,A,3000,2430,155.0
Louvolite,A,3150,2430,172.0
Louvolite,A,3300,2430,188.0
Louvolite,A,3500,2430,207.0
Louvolite,A,610,2730,94.0
Louvolite,A,810,2730,100.0
Louvolite,A,1020,2730,101.0
Louvolite,A,1220,2730,104.0
Louvolite,A,1420,2730,105.0
Louvolite,A,1630,2730,109.0
Louvolite,A,1830,2730,110.0
Louvolite,A,2030,2730,146.0
Louvolite,A,2240,2730,151.0
Louvolite,A,2440,2730,156.0
Louvolite,A,2640,2730,165.0
Louvolite,A,2850,2730,173.0
Louvolite,A,3000,2730,179.0
Louvolite,A,3150,2730,198.0
Louvolite,A,3300,2730,216.0
Louvolite,A,3500,2730,239.0
Louvolite,A,610,3000,105.0
Louvolite,A,810,3000,109.0
Louvolite,A,1020,3000,110.0
Louvolite,A,1220,3000,111.0
Louvolite,A,1420,3000,114.0
Louvolite,A,1630,3000,116.0
Louvolite,A,1830,3000,119.0
Louvolite,A,2030,3000,166.0
Louvolite,A,2240,3000,176.0
Louvolite,A,2440,3000,182.0
Louvolite,A,2640,3000,187.0
Louvolite,A,2850,3000,193.0
Louvolite,A,3000,3000,204.0
Louvolite,A,3150,3000,224.0
Louvolite,A,3300,3000,246.0
Louvolite,A,3500,3000,271.0
Louvolite,A,610,3350,115.0
Louvolite,A,810,3350,119.0
Louvolite,A,1020,3350,120.0
Louvolite,A,1220,3350,121.0
Louvolite,A,1420,3350,126.0
Louvolite,A,1630,3350,128.0
Louvolite,A,1830,3350,131.0
Louvolite,A,2030,3350,182.0
Louvolite,A,2240,3350,194.0
Louvolite,A,2440,3350,201.0
Louvolite,A,2640,3350,207.0
Louvolite,A,2850,3350,212.0
Louvolite,A,3000,3350,224.0
Louvolite,A,3150,3350,246.0
Louvolite,A,3300,3350,271.0
Louvolite,A,3500,3350,298.0
Louvolite,A,610,3700,127.0
Louvolite,A,810,3700,131.0
Louvolite,A,1020,3700,134.0
Louvolite,A,1220,3700,135.0
Louvolite,A,1420,3700,138.0
Louvolite,A,1630,3700,141.0
Louvolite,A,1830,3700,145.0
Louvolite,A,2030,3700,201.0
Louvolite,A,2240,3700,213.0
Louvolite,A,2440,3700,220.0
Louvolite,A,2640,3700,227.0
Louvolite,A,2850,3700,234.0
Louvolite,A,3000,3700,246.0
Louvolite,A,3150,3700,271.0
Louvolite,A,3300,3700,298.0
Louvolite,A,3500,3700,328.0
Louvolite,A,610,4000,139.0
Louvolite,A,810,4000,145.0
Louvolite,A,1020,4000,146.0
Louvolite,A,1220,4000,147.0
Louvolite,A,1420,4000,151.0
Louvolite,A,1630,4000,154.0
Louvolite,A,1830,4000,158.0
Louvolite,A,2030,4000,219.0
Louvolite,A,2240,4000,235.0
Louvolite,A,2440,4000,243.0
Louvolite,A,2640,4000,249.0
Louvolite,A,2850,4000,257.0
Louvolite,A,3000,4000,271.0
Louvolite,A,3150,4000,298.0
Louvolite,A,3300,4000,328.0
Louvolite,A,3500,4000,360.0
Louvolite,B,610,760,51.0
Louvolite,B,810,760,52.0
Louvolite,B,1020,760,52.0
Louvolite,B,1220,760,67.0
Louvolite,B,1420,760,68.0
Louvolite,B,1630,760,68.0
Louvolite,B,1830,760,71.0
Louvolite,B,2030,760,109.0
Louvolite,B,2240,760,116.0
Louvolite,B,2440,760,119.0
Louvolite,B,2640,760,128.0
Louvolite,B,2850,760,136.0
Louvolite,B,3000,760,143.0
Louvolite,B,3150,760,158.0
Louvolite,B,3300,760,175.0
Louvolite,B,3500,760,193.0
Louvolite,B,610,910,57.0
Louvolite,B,810,910,60.0
Louvolite,B,1020,910,60.0
Louvolite,B,1220,910,71.0
Louvolite,B,1420,910,72.0
Louvolite,B,1630,910,72.0
Louvolite,B,1830,910,73.0
Louvolite,B,2030,910,109.0
Louvolite,B,2240,910,116.0
Louvolite,B,2440,910,119.0
Louvolite,B,2640,910,128.0
Louvolite,B,2850,910,136.0
Louvolite,B,3000,910,143.0
Louvolite,B,3150,910,160.0
Louvolite,B,3300,910,176.0
Louvolite,B,3500,910,194.0
