system,group,choice,price,kind
Louvolite,Roller Option,Soft Rise,22.0,flat
Louvolite,Chain,Metal Chain,5.0,percent
Louvolite,Braid,Eyelets/wide Braid,13.03,flat
Louvolite,Braid,Cable/Antique/Trio,6.4,flat
Louvolite,Braid,Loop braid,4.16,flat
Louvolite,Braid,Melody/Vogue,5.33,flat
Louvolite,Braid,Spiral/Classic/Triangle/Glitz,3.73,flat
Louvolite,Braid,Metallic,8.53,flat
Louvolite,Eyelets,Square Eyelets,10.66,flat
Louvolite,Braid,Glitz,55.43,flat
Louvolite,Pull,Bell / barrel Pulls,5.64,flat
Louvolite,Braid,Crystal,25.59,flat
Louvolite,Pull,Braided acorn,9.38,flat
Louvolite,Pull,Premier Cylinder/Perspex,5.86,flat
Louvolite,Pull,Braided chevron,9.38,flat
Louvolite,Pull,Premier Crystal Clear,10.13,flat
Louvolite,Pull,Braided oval,12.09,flat
Louvolite,Pull,Jute Ball,3.46,flat
Louvolite,Pull,Braided tassel,12.09,flat
Louvolite,Pull,Premier Pear,6.93,flat
Louvolite,Pole,Non-standard finial,10.07,flat
Louvolite,Pull,Classic Barrel/Acorn,1.07,flat
Louvolite,Eyelets,Circular Eyelets,10.66,flat
Louvolite,Eyelets,Square Eyelets,6.4,flat
Louvolite,Finial,Metal,8.53,flat
Louvolite,Finial,Wood,6.4,flat
Senses,Roller Option,Soft Rise,22.0,flat
Senses,Chain,Metal Chain,5.0,percent
Senses,Braid,Eyelets/wide Braid,13.03,flat
Senses,Braid,Cable/Antique/Trio,6.18,flat
Senses,Braid,Loop braid,4.16,flat
Senses,Braid,Melody/Vogue,5.15,flat
Senses,Braid,Spiral/Classic/Triangle/Glitz,3.73,flat
Senses,Braid,Metallic,8.24,flat
Senses,Eyelets,Square Eyelets,10.66,flat
Senses,Braid,Glitz,53.56,flat
Senses,Pull,Bell / barrel Pulls,5.64,flat
Senses,Braid,Crystal,24.72,flat
Senses,Pull,Braided acorn,9.38,flat
Senses,Pull,Premier Cylinder/Perspex,5.67,flat
Senses,Pull,Braided chevron,9.38,flat
Senses,Pull,Premier Crystal Clear,9.79,flat
Senses,Pull,Braided oval,12.09,flat
Senses,Pull,Jute Ball,3.35,flat
Senses,Pull,Braided tassel,12.09,flat
Senses,Pull,Premier Pear,6.7,flat
Senses,Pole,Non-standard finial,10.07,flat
Senses,Pull,Classic Barrel/Acorn,1.03,flat
Senses,Eyelets,Circular Eyelets,10.3,flat
Senses,Eyelets,Square Eyelets,6.18,flat
Senses,Finial,Metal,8.24,flat
Senses,Finial,Wood,6.18,flat
Grip Fit,Chain,Metal Chain,5.0,percent
Grip Fit,Braid,Eyelets/wide Braid,13.03,flat
Grip Fit,Braid,Cable/Antique/Trio,6.18,flat
Grip Fit,Braid,Loop braid,4.16,flat
Grip Fit,Braid,Melody/Vogue,5.15,flat
Grip Fit,Braid,Spiral/Classic/Triangle/Glitz,3.73,flat
Grip Fit,Braid,Metallic,8.24,flat
Grip Fit,Eyelets,Square Eyelets,10.66,flat
Grip Fit,Braid,Glitz,53.56,flat
Grip Fit,Pull,Bell / barrel Pulls,5.64,flat
Grip Fit,Braid,Crystal,24.72,flat
Grip Fit,Pull,Braided acorn,9.38,flat
Grip Fit,Pull,Premier Cylinder/Perspex,5.67,flat
Grip Fit,Pull,Braided chevron,9.38,flat
Grip Fit,Pull,Premier Crystal Clear,9.79,flat
Grip Fit,Pull,Braided oval,12.09,flat
Grip Fit,Pull,Jute Ball,3.35,flat
Grip Fit,Pull,Braided tassel,12.09,flat
Grip Fit,Pull,Premier Pear,6.7,flat
Grip Fit,Pole,Non-standard finial,10.07,flat
Grip Fit,Pull,Classic Barrel/Acorn,1.03,flat
Grip Fit,Eyelets,Circular Eyelets,10.3,flat
Grip Fit,Eyelets,Square Eyelets,6.18,flat
Grip Fit,Finial,Metal,8.24,flat
Grip Fit,Finial,Wood,6.18,flat
Senses,Bottom Bar,Chrome/Black Chrome Endcap Set,3.11,flat
RTS,Motor,Somfy Roller Motor,79.7,flat
RTS,Motor,Tilt & Lift Motor + Battery,108.7,flat
RTS,Motor,Tilt Only Motor + Battery,108.7,flat
RTS,Remote,1 Channel Situo,23.8,flat
RTS,Remote,5 Channel Situo,31.1,flat
RTS,Remote,16 Channel Telis,119.0,flat
RTS,Accessory,Charger,8.3,flat
RTS,Accessory,Extension Cable,3.1,flat
RTS,Accessory,Wall Switch,27.95,flat
RTS,Accessory,Smart Hub (Tahoma),131.45,flat
RTS,Accessory,Solar Panel Charge Pack,32.1,flat
RTS,Accessory,Transformer T6,134.6,flat
RTS,Accessory,Transformer T24,181.1,flat
Zigbee,Motor,Roll Up 24 Li-ion 0.55nm,68.0,flat
Zigbee,Motor,Sonesse 28 Li-ion 2nm,73.0,flat
Zigbee,Motor,Sonesse Ultra 30 Li-ion 2nm,102.0,flat
Zigbee,Motor,Sonesse 40 Li-ion 3nm,158.0,flat
Zigbee,Motor,Sonesse 28 1.1nm,114.0,flat
Zigbee,Motor,Sonesse 40 3/30 Hardwired,150.0,flat
Zigbee,Motor,Tilt & Lift 25 WF,115.0,flat
Zigbee,Motor,Tilt Only 50 WF,115.0,flat
Zigbee,Remote,1 Channel Ysia,27.4,flat
Zigbee,Remote,5 Channel Ysia,35.7,flat
Zigbee,Remote,1 Channel Premium Ysia,34.7,flat
Zigbee,Remote,5 Channel Premium Ysia,45.9,flat
Zigbee,Accessory,USB-C Charger,10.5,flat
Zigbee,Accessory,USB-C Magnetic Adapter Pack,13.15,flat
Zigbee,Accessory,USB-C Motor Magnetic Adapter,2.85,flat
Zigbee,Accessory,USB-C Magnetic Cable,10.3,flat
Zigbee,Accessory,USB-C Extension Cable 20cm,5.59,flat
Zigbee,Accessory,Zigbee Smart Plug,29.9,flat
Zigbee,Accessory,Solar Panel Charge Pack,35.9,flat
Zigbee,Accessory,Solar Panel Bracket,3.7,flat
