system,group,choice,width_mm,price
Louvolite,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,610,9.0
Louvolite,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,810,9.0
Louvolite,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1020,10.0
Louvolite,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1220,16.0
Louvolite,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1420,23.0
Louvolite,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1630,24.0
Louvolite,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1830,28.0
Louvolite,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,2030,29.0
Louvolite,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,2240,31.0
Louvolite,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,2440,32.0
Louvolite,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,2640,35.0
Louvolite,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,2850,36.0
Louvolite,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,3000,37.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,610,16.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,810,24.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1020,28.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1220,32.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1420,35.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1630,37.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1830,41.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,2030,51.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,2240,57.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,2440,60.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,2640,67.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,2850,68.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,3000,72.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,3150,75.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,3300,78.0
Louvolite,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,3500,81.0
Louvolite,Bottom Bar,Decorative Bottom Bar,610,2.0
Louvolite,Bottom Bar,Decorative Bottom Bar,810,2.0
Louvolite,Bottom Bar,Decorative Bottom Bar,1020,3.0
Louvolite,Bottom Bar,Decorative Bottom Bar,1220,4.0
Louvolite,Bottom Bar,Decorative Bottom Bar,1420,4.0
Louvolite,Bottom Bar,Decorative Bottom Bar,1630,5.0
Louvolite,Bottom Bar,Decorative Bottom Bar,1830,5.0
Louvolite,Bottom Bar,Decorative Bottom Bar,2030,6.0
Louvolite,Bottom Bar,Decorative Bottom Bar,2240,6.0
Louvolite,Bottom Bar,Decorative Bottom Bar,2440,7.0
Louvolite,Bottom Bar,Decorative Bottom Bar,2640,7.0
Louvolite,Bottom Bar,Decorative Bottom Bar,2850,9.0
Louvolite,Bottom Bar,Decorative Bottom Bar,3000,9.0
Louvolite,Bottom Bar,Decorative Bottom Bar,3150,11.0
Louvolite,Bottom Bar,Decorative Bottom Bar,3300,13.0
Louvolite,Bottom Bar,Decorative Bottom Bar,3500,16.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,610,6.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,810,8.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,1020,10.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,1220,12.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,1420,14.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,1630,17.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,1830,18.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,2030,20.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,2240,22.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,2440,24.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,2640,26.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,2850,28.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,3000,30.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,3150,31.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,3300,33.0
Louvolite,Bottom Bar,Wraparound Bottom Bar,3500,34.0
Louvolite,Bottom Bar,Round Bottom Bar,610,6.71
Louvolite,Bottom Bar,Round Bottom Bar,810,8.91
Louvolite,Bottom Bar,Round Bottom Bar,1020,11.22
Louvolite,Bottom Bar,Round Bottom Bar,1220,13.42
Louvolite,Bottom Bar,Round Bottom Bar,1420,15.62
Louvolite,Bottom Bar,Round Bottom Bar,1630,17.93
Louvolite,Bottom Bar,Round Bottom Bar,1830,20.13
Louvolite,Bottom Bar,Round Bottom Bar,2030,22.33
Louvolite,Bottom Bar,Round Bottom Bar,2240,24.64
Louvolite,Bottom Bar,Round Bottom Bar,2440,26.84
Louvolite,Bottom Bar,Round Bottom Bar,2640,29.04
Louvolite,Bottom Bar,Round Bottom Bar,2850,31.35
Louvolite,Bottom Bar,Round Bottom Bar,3000,33.0
Louvolite,Bottom Bar,Round Bottom Bar,3150,34.65
Louvolite,Bottom Bar,Round Bottom Bar,3300,36.3
Louvolite,Bottom Bar,Round Bottom Bar,3500,38.5
Louvolite,Cassette,Semi Cassette 40mm,610,40.0
