name,colour,band
Adore Interlined Roman,Emerald,D
Adore Interlined Roman,Graphite,D
Adore Interlined Roman,Rose Blush,D
Adore Interlined Roman,Stone,D
Adore Interlined Roman,Sulphur,D
Agra Interlined Roman,Fuchsia,C
Agra Interlined Roman,Pearl,C
Agra Interlined Roman,Steel,C
Alana Interlined Roman,Midnight,E
Alana Interlined Roman,Pastel,E
Alana Interlined Roman,Sombre,E
Amira Interlined Roman,Cranberry,A
Amira Interlined Roman,Mineral,A
Amira Interlined Roman,Rosa,A
Amira Interlined Roman,Silver,A
Amira Interlined Roman,Sunset,A
Amira Interlined Roman,Topaz,A
Amora Interlined Roman,Brass,B
Amora Interlined Roman,Charcoal,B
Amora Interlined Roman,Teal,B
Arles Interlined Roman,Ice,B
Arles Interlined Roman,Mineral,B
Arles Interlined Roman,Silver,B
Astrid Interlined Roman,Black,A
Astrid Interlined Roman,Clay,A
Astrid Interlined Roman,Cornflower,A
Astrid Interlined Roman,Fiesta,A
Astrid Interlined Roman,Forest,A
Astrid Interlined Roman,Greige,A
Astrid Interlined Roman,Hot Pink,A
Astrid Interlined Roman,Ice White.,A
Astrid Interlined Roman,Lake,A
Astrid Interlined Roman,Lavender,A
Astrid Interlined Roman,Meadow,A
Astrid Interlined Roman,Pastel Blue,A
Astrid Interlined Roman,Plum,A
Astrid Interlined Roman,Sunshine,A
Astrid Interlined Roman,Taupe,A
Bounce Interlined Roman,Pink,B
Bounce Interlined Roman,Putty,B
Bryony Interlined Roman,Golden,A
Bryony Interlined Roman,Gunmetal,A
Bryony Interlined Roman,Ocean,A
Bryony Interlined Roman,Silver,A
Calm Interlined Roman,Arctic,D
Calm Interlined Roman,Ash,D
Calm Interlined Roman,Whip,D
Capri Interlined Roman,Chilli,D
Capri Interlined Roman,Cream,D
Capri Interlined Roman,Greige,D
Capri Interlined Roman,Lavender Fog,D
Capri Interlined Roman,Sand,D
Capri Interlined Roman,Stone Blue,D
Capri Interlined Roman,Taffy,D
Cassia Interlined Roman,Coral,D
Cassia Interlined Roman,Oatmeal,D
Cassia Interlined Roman,Petrol Blue,D
Cassia Interlined Roman,Plum,D
Cassia Interlined Roman,Rust,D
Cassia Interlined Roman,Silver Birch,D
Cassia Interlined Roman,Smoke,D
Cassia Interlined Roman,Sulphur,D
Cassia Interlined Roman,Teal,D
Celebrate Interlined Roman,Multi,B
Celebrate Interlined Roman,Pastel,B
Cloud Interlined Roman,Charcoal,D
Cloud Interlined Roman,Mineral,D
Cloud Interlined Roman,Oat,D
Cloud Interlined Roman,Rose,D
Cloud Interlined Roman,Taupe,D
Cora Interlined Roman,Lilac,B
Cora Interlined Roman,Silver,B
Cora Interlined Roman,Taupe,B
Daisy Chain Interlined Roman,Linen,E
Daisy Chain Interlined Roman,Ocean,E
Daisy Chain Interlined Roman,Shadow,E
Dash Interlined Roman,Jade,C
Dash Interlined Roman,Rose,C
Dash Interlined Roman,Slate,C
Dash Interlined Roman,Twilight,C
Evelyn Interlined Roman,Grey,D
Evelyn Interlined Roman,Ivory,D
Evelyn Interlined Roman,Petal,D
Felicity Interlined Roman,Autumn,E
Felicity Interlined Roman,Greenery,E
Felicity Interlined Roman,Silver Birch,E
Felicity Interlined Roman,Wedgwood,E
Ford Interlined Roman,Blue,D
Ford Interlined Roman,Mink,D
Ford Interlined Roman,Olive,D
Glamour Interlined Roman,Aurum,E
Glamour Interlined Roman,Cointreau,E
Glamour Interlined Roman,Emerald,E
Glamour Interlined Roman,Midnight,E
Glamour Interlined Roman,Rose,E
Glamour Interlined Roman,Rouge,E
Glamour Interlined Roman,Signet,E
