system,band,width_mm,drop_mm,price
Standard,A,600,750,125.0
Standard,A,950,750,143.0
Standard,A,1300,750,157.0
Standard,A,1650,750,204.0
Standard,A,2000,750,216.0
Standard,A,2200,750,230.0
Standard,A,2500,750,273.0
Standard,A,600,1000,138.0
Standard,A,950,1000,156.0
Standard,A,1300,1000,175.0
Standard,A,1650,1000,230.0
Standard,A,2000,1000,245.0
Standard,A,2200,1000,253.0
Standard,A,2500,1000,311.0
Standard,A,600,1250,147.0
Standard,A,950,1250,173.0
Standard,A,1300,1250,184.0
Standard,A,1650,1250,253.0
Standard,A,2000,1250,270.0
Standard,A,2200,1250,283.0
Standard,A,2500,1250,346.0
Standard,A,600,1500,160.0
Standard,A,950,1500,181.0
Standard,A,1300,1500,202.0
Standard,A,1650,1500,282.0
Standard,A,2000,1500,294.0
Standard,A,2200,1500,311.0
Standard,A,2500,1500,385.0
Standard,A,600,1750,176.0
Standard,A,950,1750,199.0
Standard,A,1300,1750,219.0
Standard,A,1650,1750,311.0
Standard,A,2000,1750,331.0
Standard,A,2200,1750,343.0
Standard,A,2500,1750,433.0
Standard,A,600,2000,184.0
Standard,A,950,2000,211.0
Standard,A,1300,2000,234.0
Standard,A,1650,2000,338.0
Standard,A,2000,2000,356.0
Standard,A,2200,2000,369.0
Standard,A,2500,2000,468.0
Standard,A,600,2250,195.0
Standard,A,950,2250,224.0
Standard,A,1300,2250,247.0
Standard,A,1650,2250,357.0
Standard,A,2000,2250,379.0
Standard,A,2200,2250,390.0
Standard,A,2500,2250,491.0
Standard,A,600,2500,210.0
Standard,A,950,2500,234.0
Standard,A,1300,2500,260.0
Standard,A,1650,2500,383.0
Standard,A,2000,2500,402.0
Standard,A,2200,2500,416.0
Standard,A,2500,2500,512.0
Standard,A,600,2700,225.0
Standard,A,950,2700,250.0
Standard,A,1300,2700,278.0
Standard,A,1650,2700,410.0
Standard,A,2000,2700,430.0
Standard,A,2200,2700,445.0
Standard,A,2500,2700,548.0
Standard,C,600,750,137.0
Standard,C,950,750,156.0
Standard,C,1300,750,175.0
Standard,C,1650,750,224.0
Standard,C,2000,750,239.0
Standard,C,2200,750,252.0
Standard,C,2500,750,303.0
Standard,C,600,1000,147.0
Standard,C,950,1000,173.0
Standard,C,1300,1000,187.0
Standard,C,1650,1000,252.0
Standard,C,2000,1000,269.0
Standard,C,2200,1000,282.0
Standard,C,2500,1000,342.0
Standard,C,600,1250,161.0
Standard,C,950,1250,184.0
Standard,C,1300,1250,204.0
Standard,C,1650,1250,282.0
Standard,C,2000,1250,296.0
Standard,C,2200,1250,311.0
Standard,C,2500,1250,383.0
Standard,C,600,1500,176.0
Standard,C,950,1500,199.0
Standard,C,1300,1500,219.0
Standard,C,1650,1500,307.0
Standard,C,2000,1500,327.0
Standard,C,2200,1500,342.0
Standard,C,2500,1500,424.0
Standard,C,600,1750,188.0
Standard,C,950,1750,218.0
Standard,C,1300,1750,240.0
Standard,C,1650,1750,342.0
Standard,C,2000,1750,362.0
Standard,C,2200,1750,379.0
Standard,C,2500,1750,474.0
Standard,C,600,2000,204.0
Standard,C,950,2000,232.0
Standard,C,1300,2000,254.0
Standard,C,1650,2000,366.0
Standard,C,2000,2000,392.0
Standard,C,2200,2000,406.0
Standard,C,2500,2000,518.0
Standard,C,600,2250,216.0
Standard,C,950,2250,245.0
Standard,C,1300,2250,273.0
Standard,C,1650,2250,387.0
Standard,C,2000,2250,413.0
Standard,C,2200,2250,428.0
Standard,C,2500,2250,537.0
Standard,C,600,2500,230.0
Standard,C,950,2500,254.0
Standard,C,1300,2500,285.0
Standard,C,1650,2500,413.0
Standard,C,2000,2500,435.0
Standard,C,2200,2500,454.0
Standard,C,2500,2500,563.0
Standard,C,600,2700,246.0
Standard,C,950,2700,272.0
Standard,C,1300,2700,305.0
Standard,C,1650,2700,442.0
Standard,C,2000,2700,465.0
Standard,C,2200,2700,486.0
Standard,C,2500,2700,602.0
Standard,B,600,750,130.0
Standard,B,950,750,151.0
Standard,B,1300,750,165.0
Standard,B,1650,750,215.0
Standard,B,2000,750,230.0
Standard,B,2200,750,239.0
Standard,B,2500,750,285.0
Standard,B,600,1000,143.0
Standard,B,950,1000,161.0
Standard,B,1300,1000,180.0
Standard,B,1650,1000,239.0
Standard,B,2000,1000,253.0
Standard,B,2200,1000,269.0
Standard,B,2500,1000,327.0
Standard,B,600,1250,156.0
Standard,B,950,1250,179.0
Standard,B,1300,1250,195.0
Standard,B,1650,1250,269.0
Standard,B,2000,1250,283.0
Standard,B,2200,1250,296.0
Standard,B,2500,1250,362.0
Standard,B,600,1500,171.0
Standard,B,950,1500,188.0
Standard,B,1300,1500,211.0
Standard,B,1650,1500,292.0
Standard,B,2000,1500,311.0
Standard,B,2200,1500,327.0
Standard,B,2500,1500,404.0
Standard,B,600,1750,181.0
Standard,B,950,1750,210.0
Standard,B,1300,1750,232.0
Standard,B,1650,1750,327.0
Standard,B,2000,1750,346.0
Standard,B,2200,1750,360.0
Standard,B,2500,1750,454.0
Standard,B,600,2000,195.0
Standard,B,950,2000,219.0
Standard,B,1300,2000,247.0
Standard,B,1650,2000,353.0
Standard,B,2000,2000,377.0
Standard,B,2200,2000,392.0
Standard,B,2500,2000,494.0
Standard,B,600,2250,209.0
Standard,B,950,2250,234.0
Standard,B,1300,2250,260.0
Standard,B,1650,2250,375.0
Standard,B,2000,2250,395.0
Standard,B,2200,2250,413.0
Standard,B,2500,2250,512.0
Standard,B,600,2500,218.0
Standard,B,950,2500,247.0
Standard,B,1300,2500,273.0
Standard,B,1650,2500,396.0
Standard,B,2000,2500,420.0
Standard,B,2200,2500,435.0
Standard,B,2500,2500,537.0
Standard,B,600,2700,233.0
Standard,B,950,2700,264.0
Standard,B,1300,2700,292.0
Standard,B,1650,2700,424.0
Standard,B,2000,2700,449.0
Standard,B,2200,2700,465.0
Standard,B,2500,2700,575.0
Standard,D,600,750,143.0
Standard,D,950,750,165.0
Standard,D,1300,750,183.0
Standard,D,1650,750,239.0
Standard,D,2000,750,253.0
Standard,D,2200,750,269.0
Standard,D,2500,750,321.0
Standard,D,600,1000,155.0
Standard,D,950,1000,181.0
Standard,D,1300,1000,202.0
Standard,D,1650,1000,269.0
Standard,D,2000,1000,285.0
Standard,D,2200,1000,297.0
Standard,D,2500,1000,362.0
Standard,D,600,1250,173.0
Standard,D,950,1250,195.0
Standard,D,1300,1250,215.0
Standard,D,1650,1250,297.0
Standard,D,2000,1250,316.0
Standard,D,2200,1250,329.0
Standard,D,2500,1250,405.0
Standard,D,600,1500,184.0
Standard,D,950,1500,210.0
Standard,D,1300,1500,234.0
Standard,D,1650,1500,328.0
Standard,D,2000,1500,346.0
Standard,D,2200,1500,362.0
Standard,D,2500,1500,452.0
Standard,D,600,1750,204.0
Standard,D,950,1750,232.0
Standard,D,1300,1750,254.0
Standard,D,1650,1750,362.0
Standard,D,2000,1750,387.0
Standard,D,2200,1750,404.0
Standard,D,2500,1750,507.0
Standard,D,600,2000,215.0
Standard,D,950,2000,245.0
Standard,D,1300,2000,273.0
Standard,D,1650,2000,392.0
Standard,D,2000,2000,418.0
Standard,D,2200,2000,434.0
Standard,D,2500,2000,553.0
Standard,D,600,2250,230.0
Standard,D,950,2250,261.0
Standard,D,1300,2250,290.0
Standard,D,1650,2250,413.0
Standard,D,2000,2250,438.0
Standard,D,2200,2250,457.0
Standard,D,2500,2250,573.0
Standard,D,600,2500,243.0
Standard,D,950,2500,273.0
Standard,D,1300,2500,304.0
Standard,D,1650,2500,438.0
Standard,D,2000,2500,465.0
Standard,D,2200,2500,484.0
Standard,D,2500,2500,602.0
Standard,D,600,2700,260.0
Standard,D,950,2700,292.0
Standard,D,1300,2700,325.0
Standard,D,1650,2700,469.0
Standard,D,2000,2700,498.0
Standard,D,2200,2700,518.0
Standard,D,2500,2700,644.0
Standard,E,600,750,157.0
Standard,E,950,750,182.0
Standard,E,1300,750,201.0
Standard,E,1650,750,263.0
Standard,E,2000,750,278.0
Standard,E,2200,750,296.0
Standard,E,2500,750,353.0
Standard,E,600,1000,171.0
Standard,E,950,1000,199.0
Standard,E,1300,1000,222.0
Standard,E,1650,1000,296.0
Standard,E,2000,1000,314.0
Standard,E,2200,1000,327.0
Standard,E,2500,1000,398.0
Standard,E,600,1250,190.0
Standard,E,950,1250,215.0
Standard,E,1300,1250,237.0
Standard,E,1650,1250,327.0
Standard,E,2000,1250,348.0
Standard,E,2200,1250,362.0
Standard,E,2500,1250,446.0
Standard,E,600,1500,202.0
Standard,E,950,1500,231.0
Standard,E,1300,1500,257.0
Standard,E,1650,1500,361.0
Standard,E,2000,1500,381.0
Standard,E,2200,1500,398.0
Standard,E,2500,1500,497.0
Standard,E,600,1750,224.0
Standard,E,950,1750,255.0
Standard,E,1300,1750,279.0
Standard,E,1650,1750,398.0
Standard,E,2000,1750,426.0
Standard,E,2200,1750,444.0
Standard,E,2500,1750,558.0
Standard,E,600,2000,237.0
Standard,E,950,2000,270.0
Standard,E,1300,2000,300.0
Standard,E,1650,2000,431.0
Standard,E,2000,2000,460.0
Standard,E,2200,2000,477.0
Standard,E,2500,2000,608.0
Standard,E,600,2250,253.0
Standard,E,950,2250,287.0
Standard,E,1300,2250,319.0
Standard,E,1650,2250,454.0
Standard,E,2000,2250,482.0
Standard,E,2200,2250,503.0
Standard,E,2500,2250,630.0
Standard,E,600,2500,267.0
Standard,E,950,2500,300.0
Standard,E,1300,2500,334.0
Standard,E,1650,2500,482.0
Standard,E,2000,2500,512.0
Standard,E,2200,2500,532.0
Standard,E,2500,2500,662.0
Standard,E,600,2700,286.0
Standard,E,950,2700,321.0
Standard,E,1300,2700,358.0
Standard,E,1650,2700,516.0
Standard,E,2000,2700,547.0
Standard,E,2200,2700,570.0
Standard,E,2500,2700,709.0
