system,band,width_mm,drop_mm,price
50mm,STD,600,1200,51.0
50mm,STD,760,1200,69.0
50mm,STD,900,1200,84.0
50mm,STD,1070,1200,97.0
50mm,STD,1200,1200,112.0
50mm,STD,1370,1200,122.0
50mm,STD,1520,1200,140.0
50mm,STD,1680,1200,152.0
50mm,STD,1830,1200,165.0
50mm,STD,2000,1200,187.0
50mm,STD,2150,1200,210.0
50mm,STD,2300,1200,226.0
50mm,STD,2420,1200,245.0
50mm,STD,600,1800,69.0
50mm,STD,760,1800,85.0
50mm,STD,900,1800,101.0
50mm,STD,1070,1800,119.0
50mm,STD,1200,1800,140.0
50mm,STD,1370,1800,155.0
50mm,STD,1520,1800,174.0
50mm,STD,1680,1800,187.0
50mm,STD,1830,1800,208.0
50mm,STD,2000,1800,236.0
50mm,STD,2150,1800,259.0
50mm,STD,2300,1800,279.0
50mm,STD,2420,1800,300.0
50mm,STD,600,2400,84.0
50mm,STD,760,2400,101.0
50mm,STD,900,2400,122.0
50mm,STD,1070,2400,146.0
50mm,STD,1200,2400,165.0
50mm,STD,1370,2400,185.0
50mm,STD,1520,2400,208.0
50mm,STD,1680,2400,228.0
50mm,STD,1830,2400,248.0
50mm,STD,2000,2400,279.0
50mm,STD,2150,2400,303.0
50mm,STD,2300,2400,327.0
50mm,STD,2420,2400,351.0
50mm,STD,600,3000,99.0
50mm,STD,760,3000,150.0
50mm,STD,900,3000,179.0
50mm,STD,1070,3000,210.0
50mm,STD,1200,3000,239.0
50mm,STD,1370,3000,267.0
50mm,STD,1520,3000,298.0
50mm,STD,1680,3000,328.0
