system,band,width_mm,drop_mm,price
89mm,A,500,900,42.0
89mm,A,700,900,49.0
89mm,A,900,900,57.0
89mm,A,1100,900,64.0
89mm,A,1300,900,69.0
89mm,A,1500,900,73.0
89mm,A,1700,900,81.0
89mm,A,1900,900,86.0
89mm,A,2100,900,91.0
89mm,A,2300,900,100.0
89mm,A,2500,900,108.0
89mm,A,2700,900,114.0
89mm,A,2900,900,118.0
89mm,A,3100,900,123.0
89mm,A,3300,900,132.0
89mm,A,3500,900,139.0
89mm,A,3700,900,144.0
89mm,A,3900,900,149.0
89mm,A,4100,900,154.0
89mm,A,4300,900,160.0
89mm,A,4500,900,166.0
89mm,A,4700,900,177.0
89mm,A,5000,900,184.0
89mm,A,500,1100,42.0
89mm,A,700,1100,51.0
89mm,A,900,1100,63.0
89mm,A,1100,1100,68.0
89mm,A,1300,1100,70.0
89mm,A,1500,1100,78.0
89mm,A,1700,1100,84.0
89mm,A,1900,1100,91.0
89mm,A,2100,1100,99.0
89mm,A,2300,1100,105.0
89mm,A,2500,1100,114.0
89mm,A,2700,1100,119.0
89mm,A,2900,1100,126.0
89mm,A,3100,1100,132.0
89mm,A,3300,1100,141.0
89mm,A,3500,1100,147.0
89mm,A,3700,1100,153.0
89mm,A,3900,1100,158.0
89mm,A,4100,1100,165.0
89mm,A,4300,1100,173.0
89mm,A,4500,1100,181.0
89mm,A,4700,1100,187.0
89mm,A,5000,1100,194.0
89mm,A,500,1300,47.0
89mm,A,700,1300,55.0
89mm,A,900,1300,64.0
89mm,A,1100,1300,69.0
89mm,A,1300,1300,75.0
89mm,A,1500,1300,83.0
89mm,A,1700,1300,88.0
89mm,A,1900,1300,99.0
89mm,A,2100,1300,105.0
89mm,A,2300,1300,111.0
89mm,A,2500,1300,119.0
89mm,A,2700,1300,126.0
89mm,A,2900,1300,134.0
89mm,A,3100,1300,143.0
89mm,A,3300,1300,149.0
89mm,A,3500,1300,154.0
89mm,A,3700,1300,160.0
89mm,A,3900,1300,171.0
89mm,A,4100,1300,178.0
89mm,A,4300,1300,184.0
89mm,A,4500,1300,189.0
89mm,A,4700,1300,197.0
89mm,A,5000,1300,208.0
89mm,A,500,1500,47.0
89mm,A,700,1500,57.0
89mm,A,900,1500,65.0
89mm,A,1100,1500,70.0
89mm,A,1300,1500,78.0
89mm,A,1500,1500,84.0
89mm,A,1700,1500,95.0
89mm,A,1900,1500,104.0
89mm,A,2100,1500,110.0
89mm,A,2300,1500,116.0
89mm,A,2500,1500,123.0
89mm,A,2700,1500,134.0
89mm,A,2900,1500,143.0
89mm,A,3100,1500,149.0
89mm,A,3300,1500,154.0
