system,band,width_mm,drop_mm,price
50mm,Everglade,600,1200,35.0
50mm,Everglade,760,1200,41.0
50mm,Everglade,900,1200,49.0
50mm,Everglade,1070,1200,56.0
50mm,Everglade,1200,1200,59.0
50mm,Everglade,1370,1200,68.0
50mm,Everglade,1520,1200,76.0
50mm,Everglade,1680,1200,84.0
50mm,Everglade,1830,1200,89.0
50mm,Everglade,2000,1200,104.0
50mm,Everglade,2150,1200,118.0
50mm,Everglade,2300,1200,122.0
50mm,Everglade,2420,1200,127.0
50mm,Everglade,2550,1200,140.0
50mm,Everglade,600,1800,41.0
50mm,Everglade,760,1800,53.0
50mm,Everglade,900,1800,62.0
50mm,Everglade,1070,1800,72.0
50mm,Everglade,1200,1800,87.0
50mm,Everglade,1370,1800,92.0
50mm,Everglade,1520,1800,99.0
50mm,Everglade,1680,1800,111.0
50mm,Everglade,1830,1800,120.0
50mm,Everglade,2000,1800,144.0
50mm,Everglade,2150,1800,156.0
50mm,Everglade,2300,1800,167.0
50mm,Everglade,2420,1800,175.0
50mm,Everglade,2550,1800,187.0
50mm,Everglade,600,2400,53.0
50mm,Everglade,760,2400,62.0
50mm,Everglade,900,2400,76.0
50mm,Everglade,1070,2400,88.0
50mm,Everglade,1200,2400,99.0
50mm,Everglade,1370,2400,111.0
50mm,Everglade,1520,2400,122.0
50mm,Everglade,1680,2400,135.0
50mm,Everglade,1830,2400,145.0
50mm,Everglade,2000,2400,175.0
50mm,Everglade,2150,2400,191.0
50mm,Everglade,2300,2400,203.0
50mm,Everglade,2420,2400,215.0
50mm,Everglade,2550,2400,228.0
50mm,Everglade,600,3000,66.0
50mm,Everglade,760,3000,80.0
50mm,Everglade,900,3000,88.0
50mm,Everglade,1070,3000,99.0
50mm,Everglade,1200,3000,120.0
50mm,Everglade,1370,3000,127.0
50mm,Everglade,1520,3000,144.0
50mm,Everglade,1680,3000,156.0
50mm,Bamboo,600,1200,33.0
50mm,Bamboo,760,1200,41.0
50mm,Bamboo,900,1200,50.0
50mm,Bamboo,1070,1200,59.0
50mm,Bamboo,1200,1200,68.0
50mm,Bamboo,1370,1200,75.0
50mm,Bamboo,1520,1200,83.0
50mm,Bamboo,1680,1200,96.0
50mm,Bamboo,1830,1200,105.0
50mm,Bamboo,2000,1200,120.0
50mm,Bamboo,2150,1200,129.0
50mm,Bamboo,2300,1200,138.0
50mm,Bamboo,2400,1200,144.0
50mm,Bamboo,600,1800,45.0
50mm,Bamboo,760,1800,56.0
50mm,Bamboo,900,1800,66.0
50mm,Bamboo,1070,1800,79.0
50mm,Bamboo,1200,1800,89.0
50mm,Bamboo,1370,1800,101.0
50mm,Bamboo,1520,1800,112.0
50mm,Bamboo,1680,1800,124.0
50mm,Bamboo,1830,1800,135.0
50mm,Bamboo,2000,1800,148.0
50mm,Bamboo,2150,1800,158.0
50mm,Bamboo,2300,1800,170.0
50mm,Bamboo,2400,1800,177.0
50mm,Bamboo,600,2400,54.0
50mm,Bamboo,760,2400,68.0
50mm,Bamboo,900,2400,81.0
50mm,Bamboo,1070,2400,95.0
50mm,Bamboo,1200,2400,108.0
50mm,Bamboo,1370,2400,122.0
50mm,Bamboo,1520,2400,136.0
50mm,Bamboo,1680,2400,150.0
50mm,Bamboo,1830,2400,164.0
50mm,Bamboo,2000,2400,179.0
50mm,Bamboo,2150,2400,193.0
50mm,Bamboo,2300,2400,206.0
50mm,Bamboo,2400,2400,214.0
50mm,Bamboo,600,3000,67.0
50mm,Bamboo,760,3000,93.0
50mm,Bamboo,900,3000,115.0
50mm,Bamboo,1070,3000,137.0
50mm,Bamboo,1200,3000,154.0
50mm,Bamboo,1370,3000,176.0
50mm,Bamboo,1520,3000,195.0
50mm,Bamboo,1680,3000,215.0
50mm,Bamboo,1830,3000,234.0
50mm,Bamboo,2000,3000,257.0
50mm,Bamboo,2150,3000,275.0
50mm,Bamboo,2300,3000,295.0
50mm,Bamboo,2400,3000,307.0
