name,colour,band,code
Aki Ion 2.8MT Roller,,E,RP5385
Aki Meteor 2.8MT Roller,,E,RP5386
Aki Orbit 2.8MT Roller,,E,RP5384
Aki Star 2.8MT Roller,,E,RP5383
Akita Blockout Dawn 2.0MT Roller,,D,RP5825
Akita Blockout Rise 2.0MT Roller,,D,RP5824
Akita Blockout Shine 2.0MT Roller,,D,RP5823
Akita Blockout Stone 2.0MT Roller,,D,RP5826
Akita Dawn 2.0MT Roller,,C,RP5472
Akita Rise 2.0MT Roller,,C,RP5471
Akita Shine 2.0MT Roller,,C,RP5492
Akita Stone 2.0MT Roller,,C,RP5473
Alara Alba 2.4mt Roller,,E,RP6116
Alara Alto 2.4mt Roller,,E,RP6119
Alara Biscuit 2.4mt Roller,,E,RP6118
Alara Carbon 2.4mt Roller,,E,RP6122
Alara Slate 2.4mt Roller,,E,RP6121
Alara Tranquility 2.4mt Roller,,E,RP6117
Alara zinc 2.0mt Roller,,E,RP6120
Altea Element 2.0 mt Roller,,C,RP6033
Altea Fraction 2.0 mt Roller,,C,RP6034
Altea Fusion 2.0 mt Roller,,C,RP6036
Altea Glow 2.0MT Roller,,C,RP6030
Altea Mineral 2.0MT Roller,,C,RP6031
Alvor Aqua 2.0MT Roller,,D,RP5317
Alvor Bacco 2.0mt Roller,,D,RP6052
Alvor Esse 2.0mt Roller,,D,RP6054
Alvor Otto 2.0mt Roller,,D,RP6053
Amaris Beige Wide 2.0mt Roller,,A,RP751
Amaris White Wide 2.0mt Roller,,A,RP750
Amico Breva 2.4mt Roller,,C,RP4095
Amico Vanilla 2.4mt Roller,,C,RP4096
Arona Ash 2.4mt Roller,,C,RP6075
Arona Brulee 2.4mt Roller,,C,RP6071
Arona Impact 2.4mt Roller,,C,RP6077
Arona Jewel 2.4mt Roller,,C,RP6083
Arona Naval 2.4mt Roller,,C,RP6084
Arona Pebble 2.4mt Roller,,C,RP6073
Arona Ray 2.4mt Roller,,C,RP6079
Arona Siren 2.4mt Roller,,C,RP6078
Arona Space 2.4mt Roller,,C,RP6074
Arona Stark 2.4mt Roller,,C,RP6069
Arona Stone 2.4mt Roller,,C,RP6072
Arona Vela 2.4mt Roller,,C,RP6076
Arona Verde 2.4mt Roller,,C,RP6081
Arona Warmth 2.4mt Roller,,C,RP6070
Arona Wave 2.4mt Roller,,C,RP6082
Arona Zest 2.4mt Roller,,C,RP6080
Astro Dream 2.0mt Roller,,D,RP6153
Astro Murmur 2.0mt Roller,,D,RP6152
Astro Sky 2.0mt Roller,,D,RP6154
Barclay Moon 3.0mt Roller,,B,RP5981
Barclay Noir 3.0mt Roller,,B,RP5982
Barclay Pure 3.0mt Roller,,B,RP5977
Bella Amalfi 2.0mt Roller,,C,RP5007
Bella Arcadia 2.0mt Roller,,C,RP5009
Bella Beige 2.0mt Roller,,C,RP798
Bella Bossa 2.0mt Roller,,C,RP5010
Bella Bossa 3.0MT Roller,,C,RP5421
Bella Boujee 2.0mt Roller,,C,RP5403
Bella Brittany 2.0mt Roller,,C,RP5011
Bella Brittany 3.0MT Roller,,C,RP5423
Bella Bullet 2.0mt Roller,,C,RP5012
Bella Butter 2.0mt Roller,,C,RP799
Bella Cacti 2.0mt Roller,,C,RP5405
Bella Canvas 2.0mt Roller,,C,RP4116
Bella Cashew 2.0MT Roller,,C,RP5408
Bella Como 2.0mt Roller,,C,RP5014
Bella Dove 2.0mt Roller,,C,RP5015
Bella Dove 3.0MT Roller,,C,RP5418
Bella Duck Egg 2.0mt Roller,,C,RP5016
Bella Duck Egg 3.0MT Roller,,C,RP5422
Bella Empire 2.0mt Roller,,C,RP5017
Bella Frost 2.0mt Roller,,C,RP802
Bella Gable 2.0mt Roller,,C,RP5020
Bella Glade 2.0mt Roller,,C,RP5021
Bella Glade 3.0MT Roller,,C,RP5424
Bella Grey Whisper 2.0mt Roller,,C,RP1142
Bella Grey Whisper 3.0MT Roller,,C,RP5419
Bella Havana 2.0mt Roller,,C,RP5023
Bella Heat 2.0MT Roller,,C,RP5406
Bella Hessian 2.0mt Roller,,C,RP1144
Bella Indigo 2.0mt Roller,,C,RP1145
Bella Indigo 3.0MT Roller,,C,RP5425
Bella Lipstick 2.0mt Roller,,C,RP5027
Bella Mambo 2.0mt Roller,,C,RP5028
Bella Maylar 2.0mt Roller,,C,RP5029
Bella Midnight 2.0mt Roller,,C,RP5030
Bella Mineral 2.0mt Roller,,C,RP5031
Bella Mirage 2.0mt Roller,,C,RP5032
Bella Modesty 2.0mt Roller,,C,RP5033
Bella Mono 2.0mt Roller,,C,RP5034
Bella Nato 2.0mt Roller,,C,RP5035
Bella Noir 2.0mt Roller,,C,RP1255
