group,label,code,band,is_default
Bracket Cover Cap,No Cover Caps,NO,,Y
Bracket Cover Cap,Yes,YES,A,
Bracket Type,Adjustable Extension Bracket,ADEEXBBRKT,,
Bracket Type,Extension Bracket,EXBBRKT,,
Bracket Type,Standard Brackets,STDBRKT,,Y
Braid Colour,Customers Own Braid,CUSTBRAID,,
Braid Colour,Matisse Azure Braid,RT523,,
Braid Colour,Matisse Caviar Braid,RT524,,
Braid Colour,Matisse Ecru,RT013,,
Braid Colour,Matisse Lagoon Braid,RT501,,
Braid Colour,Matisse Rosewood Braid,RT503,,
Braid Colour,Matisse Vintage,RT419,,
Braid Colour,Matisse Waterfall Braid,RT502,,
Braid Colour,Matisse White,RT021,,
Braid Colour,Matisse Wisteria Braid,RT504,,
Braid Colour,None Required,NBRAID,,Y
Braid Colour,Please Select,PSBRAID,,
Braid Colour,Savini Ash Braid,RT491,,
Braid Colour,Savini Cadet Braid,RT521,,
Braid Colour,Savini Calico Braid,RT474,,
Braid Colour,Savini Cotton Braid,RT473,,
Braid Colour,Savini Ebony Braid,RT492,,
Braid Colour,Savini Quartz Braid,RT490,,
Braid Colour,Savini Ruby Braid,RT483,,
Braid Colour,Savini Tangerine Braid,RT480,,
Braid Colour,Savini Zest Braid,RT479,,
Braid Colour,Tessero Lista Braid,RT543,,
Braid Colour,Tessero Nera Braid,RT545,,
Braid Colour,Tessero Notte Braid,RT544,,
Braid Colour,Tessero Perla Braid,RT540,,
Braid Colour,Tessero Sabbia Braid,RT541,,
Braid Colour,Tessero Talpa Braid,RT542,,
Braid Type,Braid on Lathe,RBRAID-A,,
Braid Type,Braid on Lathe&Scallop,RBRAID-C,,
Braid Type,Braid on Scallop,RBRAID-D,,
Braid Type,Double Braid on Lathe,RBRAID-B,,
Braid Type,Not Applicable,RBNA,,Y
Braid Type,Select Braid Type,PSTYPE,,
Chain Type,NICKEL CHAIN,CH-NICKEL,,
Chain Type,NO CHAIN,CH-NONE,,
Chain Type,PLASTIC CHAIN,CH-PLASTIC,,Y
Control Position,Left Side Control,LSCONTROL,,
Control Position,No controls,NOCONTROL,,
Control Position,Right Side Control,RSCONTROL,,Y
Ext Brackets,32mm Cruze Roller Ext Clutch S,CZR003,,
Ext Brackets,40/45 Extension Bracket - Whit,RC754,,
Ext Brackets,40mm Cruze Roller Ext Clutch S,CZR011,,
Ext Brackets,Cruze 40mm Ext. Bracket Set - Anthracite,RC849,,
Ext Brackets,Cruze 40mm Ext. Bracket Set - Black,RC848,,
Ext Brackets,Cruze 40mm Ext. Bracket Set - White,RC847,,
Ext Brackets,Extension Bracket - Black,RC753,,
Ext Brackets,Not Applicable,EXTVNA,,Y
Ext Brackets,R3005 Clutch With Ext Brackets,RC084,,
Ext Brackets,Unishade Extension Bracket 32mm,RC408,,
Eyelets,Eyelet Anthracite,RT441,,
Eyelets,Eyelet Black,RT442,,
Eyelets,Eyelet Brushed Aluminium,RT440,,
Eyelets,Eyelet Chrome,RT439,,
Eyelets,Eyelet Matt Brass,RT526,,
Eyelets,Eyelet Matt White,RT528,,
Eyelets,Not Required,EYELET,,Y
Eyelets,Single Anthracite Eyelet,RT441-1,,
Eyelets,Single Brushed Aluminium Eyelet,RT440-1,,
Eyelets,Single Chrome Eyelet,RT439-1,,
Eyelets,Single Matt Brass Eyelet,RT526-1,,
Eyelets,Single Matt Copper Eyelet,RT527-1,,
Eyelets,Single White Eyelet,RT528-1,,
Eyelets,Sinlge Black Eyelet,RT442-1,,
Finials,None required,NFINIAL,,Y
Finials,Orbit Disc Black,RC481,,
Finials,Orbit Disc Brass,RC482,,
Finials,Orbit Disc Chrome End Cap,RC428,,
Finials,Orbit Disc Mini Black,RC483,,
Finials,Orbit Disc Mini Brass,RC484,,
Finials,Orbit Mini Disc Chrome E-Cap,RC427,,
Finish Type,15mm Unishade B/Bar Anthracite,RC378,,
Finish Type,15mm Unishade B/Bar Black Textured,RC380,,
Finish Type,15mm Unishade B/Bar Brass,RC381,,
Finish Type,15mm Unishade B/Bar Brush Alum,RC371,,
Finish Type,15mm Unishade B/Bar Chrome,RC372,,
Finish Type,15mm Unishade B/Bar Copper,RC379,,
Finish Type,15mm Unishade B/Bar White,RC373,,
Finish Type,65mm Lathe Pocket,LATHE65,,
Finish Type,Arona Pocket LP6069 Stark,ABB-LP6069,,
Finish Type,Arona Pocket LP6070 Warmth,ABB-LP6070,,
Finish Type,Arona Pocket LP6071 Brulee,ABB-LP6071,,
Finish Type,Arona Pocket LP6072 Stone,ABB-LP6072,,
Finish Type,Arona Pocket LP6073 Pebble,ABB-LP6073,,
Finish Type,Arona Pocket LP6074 Space,ABB-LP6074,,
Finish Type,Arona Pocket LP6075 Ash,ABB-LP6075,,
Finish Type,Arona Pocket LP6076 Vela,ABB-LP6076,,
Finish Type,Arona Pocket LP6077 Impact,ABB-LP6077,,
Finish Type,Arona Pocket LP6078 Siren,ABB-LP6078,,
Finish Type,Arona Pocket LP6079 Ray,ABB-LP6079,,
Finish Type,Arona Pocket LP6080 Zest,ABB-LP6080,,
Finish Type,Arona Pocket LP6081 Verde,ABB-LP6081,,
Finish Type,Arona Pocket LP6082 Wave,ABB-LP6082,,
Finish Type,Arona Pocket LP6083 Jewel,ABB-LP6083,,
Finish Type,Arona Pocket LP6084 Naval,ABB-LP6084,,
Finish Type,Bella Pocket LP1161 Beige,BBP-LP1161,,
Finish Type,Bella Pocket LP1163 Breeze,BBP-LP1163,,
Finish Type,Bella Pocket LP1164 Butter,BBP-LP1164,,
Finish Type,Bella Pocket LP1166 Capri,BBP-LP1166,,
Finish Type,Bella Pocket LP1167 Chocolate,BBP-LP1167,,
Finish Type,Bella Pocket LP1168 Clay,BBP-LP1168,,
Finish Type,Bella Pocket LP1171 Grey Whisper,BBP-LP1171,,
Finish Type,Bella Pocket LP1172 Frost,BBP-LP1172,,
Finish Type,Bella Pocket LP1174 Hessian,BBP-LP1174,,
Finish Type,Bella Pocket LP1175 Indigo,BBP-LP1175,,
Finish Type,Bella Pocket LP1176 Kiwi,BBP-LP1176,,
Finish Type,Bella Pocket LP1179 Lollipop,SBP-LP1179,,
Finish Type,Bella Pocket LP1180 Paper,BBP-LP1180,,
Finish Type,Bella Pocket LP1181 Pesto,BBP-LP1181,,
Finish Type,Bella Pocket LP1182 Poppy,SBP-LP1182,,
Finish Type,Bella Pocket LP1184 Regatta,BBP-LP1184,,
Finish Type,Bella Pocket LP1185 Slate,BBP-LP1185,,
Finish Type,Bella Pocket LP1187 Oyster,BBP-LP1187,,
Finish Type,Bella Pocket LP1188 Noir,BBP-LP1188,,
Finish Type,Bella Pocket LP4109 Fawn,BBP-LP4109,,
Finish Type,Bella Pocket LP4110 Pebble,BBP-LP4110,,
Finish Type,Bella Pocket LP4111 Putty,BBP-LP4111,,
Finish Type,Bella Pocket LP4112 Mocha,BBP-LP4112,,
Finish Type,Bella Pocket LP4113 Tropez,BBP-LP4113,,
Finish Type,Bella Pocket LP4114 Rock,BBP-LP4114,,
Finish Type,Bella Pocket LP4115 Graphite,BBP-LP4115,,
Finish Type,Bella Pocket LP4116 Canvas,BBP-LP4116,,
Finish Type,Bella Pocket LP4117 Powder,BBP-LP4117,,
Finish Type,Bella Pocket LP4118 Venus,BBP-LP4118,,
Finish Type,Bella Pocket LP4119 Sloe,BBP-LP4119,,
Finish Type,Bella Pocket LP4120 Azure,BBP-LP4120,,
Finish Type,Bella Pocket LP4121 Tiffany,BBP-LP4121,,
Finish Type,Bella Pocket LP4122 Vine,BBP-LP4122,,
Finish Type,Bella Pocket LP4123 Summer,BBP-LP4123,,
Finish Type,Bella Pocket LP4124 Cinnabar,BBP-LP4124,,
Finish Type,Bella Pocket LP4125 Kiss,BBP-LP4125,,
Finish Type,Bella Pocket LP4126 Sorbet,BBP-LP4126,,
Finish Type,Bella Pocket LP4127 Scarlett,BBP-LP4127,,
Finish Type,Bella Pocket LP4128 Berry,BBP-LP4128,,
Finish Type,Bella Pocket LP4129 Paradise,BBP-LP4129,,
Finish Type,Bella Pocket LP5007 Amalfi,BBP - LP5007,,
Finish Type,Bella Pocket LP5008 Amparo,BBP - LP5008,,
Finish Type,Bella Pocket LP5009 Arcadia,BBP - LP5009,,
Finish Type,Bella Pocket LP5010 Bossa,BBP - LP5010,,
