system,band,width_mm,drop_mm,price
Standard,A,610,610,33.21
Standard,A,762,610,34.9
Standard,A,914,610,36.55
Standard,A,1067,610,38.19
Standard,A,1219,610,39.86
Standard,A,1372,610,41.51
Standard,A,1524,610,43.17
Standard,A,1676,610,46.5
Standard,A,1829,610,49.81
Standard,A,1981,610,58.15
Standard,A,2134,610,63.09
Standard,A,2438,610,69.74
Standard,A,2913,610,74.73
Standard,A,3048,610,79.72
Standard,A,3300,610,84.7
Standard,A,3500,610,99.63
Standard,A,610,762,34.9
Standard,A,762,762,36.55
Standard,A,914,762,38.19
Standard,A,1067,762,39.86
Standard,A,1219,762,41.51
Standard,A,1372,762,43.17
Standard,A,1524,762,44.84
Standard,A,1676,762,48.17
Standard,A,1829,762,51.48
Standard,A,1981,762,59.78
Standard,A,2134,762,64.76
Standard,A,2438,762,71.42
Standard,A,2913,762,76.41
Standard,A,3048,762,81.37
Standard,A,3300,762,86.33
Standard,A,3500,762,101.3
Standard,A,610,914,36.55
Standard,A,762,914,38.19
Standard,A,914,914,39.86
Standard,A,1067,914,41.51
Standard,A,1219,914,43.17
Standard,A,1372,914,44.84
Standard,A,1524,914,46.5
Standard,A,1676,914,49.81
Standard,A,1829,914,53.14
Standard,A,1981,914,61.43
Standard,A,2134,914,66.42
Standard,A,2438,914,73.08
Standard,A,2913,914,78.06
Standard,A,3048,914,83.05
Standard,A,3300,914,88.01
Standard,A,3500,914,102.93
Standard,A,610,1067,38.19
Standard,A,762,1067,39.86
Standard,A,914,1067,41.51
Standard,A,1067,1067,43.17
Standard,A,1219,1067,44.84
Standard,A,1372,1067,46.5
Standard,A,1524,1067,48.17
Standard,A,1676,1067,51.48
Standard,A,1829,1067,54.77
Standard,A,1981,1067,63.09
Standard,A,2134,1067,68.09
Standard,A,2438,1067,74.73
Standard,A,2913,1067,79.72
Standard,A,3048,1067,84.7
Standard,A,3300,1067,89.67
Standard,A,3500,1067,104.62
Standard,A,610,1219,41.51
Standard,A,762,1219,43.17
Standard,A,914,1219,44.84
Standard,A,1067,1219,46.5
Standard,A,1219,1219,48.17
Standard,A,1372,1219,49.81
Standard,A,1524,1219,51.48
Standard,A,1676,1219,54.77
Standard,A,1829,1219,58.15
Standard,A,1981,1219,66.42
Standard,A,2134,1219,71.42
Standard,A,2438,1219,78.06
Standard,A,2913,1219,83.05
Standard,A,3048,1219,88.01
Standard,A,3300,1219,92.97
Standard,A,3500,1219,107.96
Standard,A,610,1524,44.84
Standard,A,762,1524,46.5
Standard,A,914,1524,48.17
Standard,A,1067,1524,49.81
Standard,A,1219,1524,51.48
Standard,A,1372,1524,53.14
Standard,A,1524,1524,54.77
Standard,A,1676,1524,58.15
Standard,A,1829,1524,61.43
Standard,A,1981,1524,69.74
Standard,A,2134,1524,74.73
Standard,A,2438,1524,81.37
Standard,A,2913,1524,86.33
Standard,A,3048,1524,91.34
Standard,A,3300,1524,96.32
Standard,A,3500,1524,111.27
Standard,A,610,1829,49.81
Standard,A,762,1829,51.48
Standard,A,914,1829,53.14
Standard,A,1067,1829,54.77
Standard,A,1219,1829,56.46
Standard,A,1372,1829,58.15
Standard,A,1524,1829,59.78
Standard,A,1676,1829,63.09
Standard,A,1829,1829,66.42
Standard,A,1981,1829,86.33
Standard,A,2134,1829,91.34
Standard,A,2438,1829,97.98
Standard,A,2913,1829,107.96
Standard,A,3048,1829,112.93
Standard,A,3300,1829,117.87
Standard,A,3500,1829,132.86
Standard,A,610,2134,54.77
Standard,A,762,2134,56.46
Standard,A,914,2134,58.15
Standard,A,1067,2134,59.78
Standard,A,1219,2134,61.43
Standard,A,1372,2134,63.09
Standard,A,1524,2134,64.76
Standard,A,1676,2134,68.09
Standard,A,1829,2134,71.42
Standard,A,1981,2134,91.34
Standard,A,2134,2134,96.32
Standard,A,2438,2134,102.93
Standard,A,2913,2134,112.93
Standard,A,3048,2134,117.87
Standard,A,3300,2134,122.86
Standard,A,3500,2134,137.83
Standard,A,610,2438,59.78
Standard,A,762,2438,61.43
Standard,A,914,2438,63.09
Standard,A,1067,2438,64.76
Standard,A,1219,2438,66.42
Standard,A,1372,2438,68.09
Standard,A,1524,2438,69.74
Standard,A,1676,2438,73.08
Standard,A,1829,2438,76.41
Standard,A,1981,2438,96.32
Standard,A,2134,2438,101.3
Standard,A,2438,2438,107.96
Standard,A,2913,2438,117.87
Standard,A,3048,2438,122.86
Standard,A,3300,2438,127.85
Standard,A,3500,2438,142.78
Standard,A,610,2913,64.76
Standard,A,762,2913,66.42
Standard,A,914,2913,68.09
Standard,A,1067,2913,69.74
Standard,A,1219,2913,71.42
Standard,A,1372,2913,73.08
Standard,A,1524,2913,74.73
Standard,A,1676,2913,78.06
Standard,A,1829,2913,81.37
Standard,A,1981,2913,101.3
Standard,A,2134,2913,109.6
Standard,A,2438,2913,116.25
Standard,A,2913,2913,126.21
Standard,A,3048,2913,131.2
Standard,A,3300,2913,136.16
Standard,A,3500,2913,151.11
Standard,A,610,3250,69.74
Standard,A,762,3250,71.42
Standard,A,914,3250,73.08
Standard,A,1067,3250,74.73
Standard,A,1219,3250,76.41
Standard,A,1372,3250,78.06
Standard,A,1524,3250,79.72
Standard,A,1676,3250,83.05
Standard,A,1829,3250,86.33
Standard,A,1981,3250,106.28
Standard,A,2134,3250,117.87
Standard,A,2438,3250,124.55
Standard,A,2913,3250,137.83
Standard,A,3048,3250,142.78
Standard,A,3300,3250,147.8
Standard,A,3500,3250,162.73
Standard,A,610,3500,78.06
Standard,A,762,3500,79.72
Standard,A,914,3500,81.37
Standard,A,1067,3500,83.05
Standard,A,1219,3500,84.7
Standard,A,1372,3500,86.33
Standard,A,1524,3500,88.01
Standard,A,1676,3500,91.34
Standard,A,1829,3500,94.66
Standard,A,1981,3500,114.57
Standard,A,2134,3500,127.85
Standard,A,2438,3500,134.51
Standard,A,2913,3500,149.47
Standard,A,3048,3500,154.43
Standard,A,3300,3500,159.41
Standard,A,3500,3500,174.36
Standard,B,610,610,38.19
Standard,B,762,610,39.86
Standard,B,914,610,41.51
Standard,B,1067,610,43.17
Standard,B,1219,610,44.84
Standard,B,1372,610,46.5
Standard,B,1524,610,48.17
Standard,B,1676,610,51.48
Standard,B,1829,610,54.77
Standard,B,1981,610,66.42
Standard,B,2134,610,74.73
Standard,B,2438,610,83.05
Standard,B,2913,610,91.34
Standard,B,3048,610,99.63
Standard,B,3300,610,109.6
Standard,B,3500,610,124.55
Standard,B,610,762,41.51
Standard,B,762,762,43.17
Standard,B,914,762,44.84
Standard,B,1067,762,46.5
Standard,B,1219,762,48.17
Standard,B,1372,762,49.81
Standard,B,1524,762,51.48
Standard,B,1676,762,54.77
Standard,B,1829,762,58.15
Standard,B,1981,762,69.74
Standard,B,2134,762,78.06
